,cmun,province,municipality,altitude,koppen_climate,age_score,economy_score,economy_score_area,closest_distance_airport,school_score_area
103,48039,Bizkaia,Garai,266.8056,Cfb,18.07580174927115,0.0,14.395454166666669,27.047851768443543,5.0
104,33067,Asturias,Sobrescobio,579.3365,Cfb,-10.389610389610368,0.0,6.042708333333334,61.42674615127857,4.0
106,27053,Lugo,Ribeira de Piquín,616.5509,Csb,-40.73319755600815,0.0,12.378772727272723,97.25861969989865,4.0
107,15029,A Coruña,Coristanco,121.6658,Csb,-17.95363430364302,27.4,41.39260208333334,33.54496455510427,5.0
108,33050,Asturias,Ponga,706.3737,Cfb,-31.28249566724436,0.0,2.67875,77.95327932861443,2.0
109,20075,Gipuzkoa,Villabona,54.3162,Cfb,21.15384615384616,19.35,17.31594827586207,28.113987071682555,5.0
110,48058,Bizkaia,Mallabia,261.5383,Cfb,14.93506493506493,11.9,18.154817094017098,33.19008611748644,5.0
111,48019,Bizkaia,Berriz,249.695,Cfb,21.887944190102477,17.25,21.906621153846157,28.588962457356555,5.0
112,39083,Cantabria,Soba,320.8042,Cfb,-13.348837209302332,0.0,3.12,36.25454085908545,3.0
113,20048,Gipuzkoa,Larraul,237.0397,Cfb,40.873015873015866,0.0,7.742418032786884,31.436625418421603,5.0
115,39004,Cantabria,Arenas de Iguña,175.7548,Cfb,3.8439635535307417,0.0,1.48546511627907,32.41583063183879,4.0
118,33015,Asturias,Caso,623.0895,Cfb,-31.20168657765285,2.35,6.8020000000000005,69.5154113417801,5.0
119,27022,Lugo,Guitiriz,448.572,Cfb,-9.530305983239131,25.7,28.52932,41.03126538711981,5.0
120,48065,Bizkaia,Ugao-Miraballes,75.86762,Cfb,19.56417624521073,8.35,16.724738,13.619562031884811,5.0
121,48042,Bizkaia,Gordexola,77.9446,Cfb,18.003512880562056,4.050000000000001,13.109697692307693,18.982887624341423,5.0
124,48910,Bizkaia,Iurreta,115.2097,Cfb,19.027921406411597,19.2,23.76998556701031,26.32007079690049,5.0
125,20006,Gipuzkoa,Alkiza,330.265,Cfb,38.5593220338983,0.0,7.553968253968255,32.91838461350013,5.0
126,31117,Navarra,Goizueta,157.4991,Cfb,0.2167630057803506,0.0,6.221136363636364,21.42026737649044,5.0
127,48095,Bizkaia,Zaldibar,202.9217,Cfb,26.143141153081523,12.35,18.74250956521739,32.77916103359624,5.0
129,39022,Cantabria,Cillorigo de Liébana,491.4029,Cfb,10.690668626010272,6.85,3.7767241379310335,68.11484456288532,2.0
130,48094,Bizkaia,Igorre,86.60947,Cfb,21.07877107877107,10.8,20.16998292682927,18.6001843287878,5.0
131,20046,Gipuzkoa,Irura,65.21113,Cfb,54.404008438818565,9.0,12.227708333333334,30.959575989350068,5.0
132,31226,Navarra,Sunbilla,106.4811,Cfb,17.723342939481256,0.0,7.106648097826088,23.431660378210623,5.0
133,20066,Gipuzkoa,Errezil,295.3495,Cfb,20.567986230636848,0.0,8.030426356589146,37.62632131145159,5.0
134,1042,Álava,Okondo,145.3144,Cfb,28.193277310924373,3.5,12.392680985915492,17.98678568121083,5.0
135,20010,Gipuzkoa,Anoeta,76.04242,Cfb,31.07588856868395,5.2,10.343541666666669,31.346086383581188,5.0
136,15024,A Coruña,Cerceda,340.3528,Csb,5.796529968454252,30.8,36.6577328125,17.63740633528445,5.0
137,39097,Cantabria,Vega de Pas,357.8255,Cfb,3.90625,0.0,2.361111111111112,29.87133909509877,3.0
139,39086,Cantabria,"Tojos, Los",623.6432,Cfb,-5.614973262032095,0.0,1.4765,46.12305894363058,2.0
140,20041,Gipuzkoa,Hernialde,292.9313,Cfb,15.251572327044023,0.0,7.550806451612903,32.7264552464917,5.0
141,39089,Cantabria,Tudanca,420.3354,Cfb,-11.21794871794873,0.0,1.4811111111111113,54.08440807410571,1.0
142,39055,Cantabria,Potes,309.7742,Csb,15.3531598513011,5.0,2.827205882352941,71.63613547333017,2.0
143,48006,Bizkaia,Arantzazu,98.17124,Cfb,30.964467005076145,0.0,14.48260238095238,19.184273495930587,5.0
144,39046,Cantabria,Molledo,248.2709,Cfb,-10.83445491251682,2.25,2.551136363636364,35.201011607747674,3.0
145,48025,Bizkaia,Zeberio,184.4285,Cfb,11.090573012938997,3.05,15.573007407407408,17.236125698678144,5.0
146,27046,Lugo,Pol,530.1712,Csb,-19.487678339818416,2.85,12.906583333333334,86.7096291576528,5.0
147,48050,Bizkaia,Izurtza,156.2756,Cfb,17.030567685589503,0.0,13.3274101010101,27.329453545878696,5.0
148,24116,León,Posada de Valdeón,915.0911,Cfb,-40.59405940594058,0.0,0.2892857142857142,86.61602060744214,5.0
149,39015,Cantabria,Camaleño,442.6653,Cfb,-2.9835390946501974,0.0,0.2926470588235293,77.06502766904417,2.0
