cmun,municipality_name,province,altitude,longitude,latitude,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital
2040,Hoya-Gonzalo,Albacete,935.8157,-1.554348,38.96017,Aeropuerto de Albacete,26.79408351983535,Albacete Los Llanos,25.89488718633259,25.257708377123578,Quironsalud Hospital Albacete
2041,Jorquera,Albacete,620.2926,-1.521044,39.17475,Aeropuerto de Albacete,38.74743485805246,Albacete Los Llanos,34.33519880146333,34.96780929669939,Quironsalud Hospital Albacete
2042,Letur,Albacete,746.7882,-2.101964,38.36555,Aeropuerto de Albacete,68.08877705860479,Calasparra,38.41942641054016,35.58131425819056,Hospital Comarcal Del Noroeste
2043,Lezuza,Albacete,916.73,-2.353775,38.94902,Aeropuerto de Albacete,42.530203581128134,La Roda De Albacete,32.33361650695181,41.98480852962061,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2044,Liétor,Albacete,671.197,-1.952878,38.5429,Aeropuerto de Albacete,45.820505401823155,Hellin,23.35564415132456,23.390441385776402,Hospital De Hellín
2045,Madrigueras,Albacete,692.8739,-1.800167,39.23705,Aeropuerto de Albacete,32.37017328168238,La Gineta,22.197666879487045,27.897349738621134,Clínica Santa Cristina Albacete
2046,Mahora,Albacete,667.1957,-1.725332,39.21283,Aeropuerto de Albacete,31.55937398443478,Albacete Los Llanos,25.89685025279013,27.254005337425813,Quironsalud Hospital Albacete
2047,Masegoso,Albacete,1109.367,-2.315899,38.71841,Aeropuerto de Albacete,46.948653622688695,Albacete Los Llanos,51.21956950722219,48.88841351979605,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2048,Minaya,Albacete,725.5837,-2.319947,39.27149,Aeropuerto de Albacete,53.2691627781005,Minaya,4.208905046611824,24.416920165033392,Hospital General De Villarobledo
2049,Molinicos,Albacete,857.9905,-2.237843,38.46796,Aeropuerto de Albacete,62.619346167614,Hellin,48.136581943024595,48.039343562061866,Hospital De Hellín
2050,Montalvos,Albacete,710.0,-2.027694,39.16689,Aeropuerto de Albacete,28.009452793892994,La Gineta,6.566395276991255,23.849585049501854,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2051,Montealegre del Castillo,Albacete,811.8585,-1.325303,38.78697,Aeropuerto de Albacete,50.050190445577435,Almansa,21.09471470958666,22.56043844821093,Hospital General De Almansa
2052,Motilleja,Albacete,679.5121,-1.791874,39.1806,Aeropuerto de Albacete,26.372906623201313,La Gineta,19.574836762709374,21.93532334382381,Clínica Santa Cristina Albacete
2053,Munera,Albacete,934.6063,-2.482528,39.03984,Aeropuerto de Albacete,54.58365831019294,Minaya,25.134832877540703,28.622501402103907,Hospital General De Villarobledo
2054,Navas de Jorquera,Albacete,711.0,-1.71904,39.28074,Aeropuerto de Albacete,38.81440740524473,La Gineta,30.70052669200754,34.45373730293795,Clínica Santa Cristina Albacete
2055,Nerpio,Albacete,1084.768,-2.302496,38.14801,Aeropuerto de Albacete,96.87707231883476,Calasparra,56.15980820817287,38.46589594289536,Hospital Comarcal Del Noroeste
2056,Ontur,Albacete,656.9244,-1.498491,38.6147,Aeropuerto de Albacete,48.85197950480797,Hellin,20.310517493531943,20.650671423168234,Hospital De Hellín
2057,Ossa de Montiel,Albacete,911.2698,-2.745406,38.96335,Aeropuerto de Albacete,76.4871280490507,Socuellamos,35.11731011382694,32.51237122193595,Hospital General De Tomelloso
2058,Paterna del Madera,Albacete,1136.959,-2.346145,38.59725,Aeropuerto de Albacete,57.375059574334855,Hellin,58.15346953031261,46.6275236429253,Hospital De Alta Resolución Sierra De Segura
2059,Peñascosa,Albacete,1170.48,-2.410708,38.67118,Aeropuerto de Albacete,56.721175551963334,La Gineta,60.49358423074961,47.64592093659423,Hospital De Alta Resolución Sierra De Segura
2060,Peñas de San Pedro,Albacete,1023.151,-2.004189,38.72722,Aeropuerto de Albacete,27.560028419775932,Albacete Los Llanos,33.182019789679714,31.298491993590883,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2061,Pétrola,Albacete,878.49,-1.557605,38.82572,Aeropuerto de Albacete,29.867646391193393,Albacete Los Llanos,31.830634254365982,30.52010511490641,Quironsalud Hospital Albacete
2062,Povedilla,Albacete,871.9346,-2.603873,38.70169,Aeropuerto de Albacete,69.96367200664815,Villarrobledo,62.07710637322793,41.138292127841595,Hospital De Alta Resolución Sierra De Segura
2063,Pozohondo,Albacete,872.5624,-1.911805,38.72114,Aeropuerto de Albacete,25.71489665299628,Hellin,30.55024469413755,29.578072831705615,Hospital General Universitario De Albacete
2064,Pozo-Lorente,Albacete,773.0806,-1.506532,39.07682,Aeropuerto de Albacete,33.96213422601304,Albacete Los Llanos,30.82161117264548,30.933012143395832,Quironsalud Hospital Albacete
2065,Pozuelo,Albacete,850.8868,-2.100707,38.80923,Aeropuerto de Albacete,25.84215968813883,Albacete Los Llanos,30.456894706325656,28.178369504418725,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2066,"Recueja, La",Albacete,541.1991,-1.490451,39.17558,Aeropuerto de Albacete,40.86299211287915,Albacete Los Llanos,36.600077361863185,37.169595258543794,Quironsalud Hospital Albacete
2067,Riópar,Albacete,971.0583,-2.41725,38.49912,Aeropuerto de Albacete,69.44670013787051,Hellin,63.570114724150066,35.80302906672376,Hospital De Alta Resolución Sierra De Segura
2068,Robledo,Albacete,1029.824,-2.448879,38.75912,Aeropuerto de Albacete,55.06561474804878,Minaya,54.16898336220342,53.20348660795662,Hospital De Alta Resolución Sierra De Segura
2069,"Roda, La",Albacete,679.9437,-1.868604,39.0013,Aeropuerto de Albacete,5.754992149348379,Albacete Los Llanos,1.724700367926532,1.3380485878731463,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2070,Salobre,Albacete,924.4268,-2.551266,38.59158,Aeropuerto de Albacete,71.80441407282635,Minaya,74.17996880970294,32.919442677431256,Hospital De Alta Resolución Sierra De Segura
2071,San Pedro,Albacete,844.3685,-2.186141,38.82642,Aeropuerto de Albacete,31.18259320769966,Albacete Los Llanos,35.056651594007015,32.71000821848055,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2072,Socovos,Albacete,751.4481,-1.983432,38.33348,Aeropuerto de Albacete,69.19527427129182,Calasparra,27.48334001129564,27.44643263055347,Hospital Comarcal Del Noroeste
2073,Tarazona de la Mancha,Albacete,715.6435,-1.912836,39.26531,Aeropuerto de Albacete,35.30789572476704,La Gineta,18.65141775661109,30.81487423117034,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2074,Tobarra,Albacete,642.4951,-1.693783,38.58844,Aeropuerto de Albacete,42.71328547168732,Hellin,8.845987843519424,9.34816027256424,Hospital De Hellín
2075,Valdeganga,Albacete,668.1237,-1.677004,39.13523,Aeropuerto de Albacete,26.158694004691032,Albacete Los Llanos,21.10164725223825,22.035009233696385,Quironsalud Hospital Albacete
2076,Vianos,Albacete,1117.031,-2.501559,38.63218,Aeropuerto de Albacete,65.71291444895198,La Gineta,68.74668915557899,39.14874954802683,Hospital De Alta Resolución Sierra De Segura
2077,Villa de Ves,Albacete,741.5894,-1.26016,39.22327,Aeropuerto de Albacete,60.371942495345635,Requena-Utiel,34.85535691476132,32.90292657364194,Hospital General De Requena
2078,Villalgordo del Júcar,Albacete,687.8445,-2.06341,39.29626,Aeropuerto de Albacete,42.19828444291799,La Roda De Albacete,13.762095987986436,37.85301733870768,Hospital Universitario Nuestra Señora Del Perpetuo Socorro
2079,Villamalea,Albacete,743.7635,-1.599296,39.36189,Aeropuerto de Albacete,51.13600801143525,Camporrobles,35.67000391674796,46.0837081688487,Hospital General De Requena
2080,Villapalacios,Albacete,837.8229,-2.635532,38.5746,Aeropuerto de Albacete,78.99235576456935,Valdepeñas,69.41323391880358,27.232338725726514,Hospital De Alta Resolución Sierra De Segura
2081,Villarrobledo,Albacete,728.5291,-2.607643,39.26726,Aeropuerto de Albacete,73.41535431627246,Villarrobledo,1.0590205647479134,1.486327199658726,Hospital General De Villarobledo
2082,Villatoya,Albacete,416.7317,-1.340224,39.33326,Aeropuerto de Albacete,62.11100731241892,Requena-Utiel,27.405841324171575,27.616915887119312,Hospital General De Requena
2083,Villavaliente,Albacete,728.5188,-1.458606,39.12596,Aeropuerto de Albacete,40.125380347046416,Albacete Los Llanos,36.533860921747426,36.827988688724616,Quironsalud Hospital Albacete
2084,Villaverde de Guadalimar,Albacete,796.1951,-2.517869,38.4555,Aeropuerto de Albacete,79.07169058352399,Hellin,72.60143991308176,25.801718757368903,Hospital De Alta Resolución Sierra De Segura
