cmun,municipality,population,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
4093,Turre,4.067,3.102,0.09,0.97,0.87,0.0,0.94,0.82,0.8,1.0,0.67,0.0
4094,Turrillas,270,157,0.0,0.96,0.8,0.0,0.9,0.83,0.8,0.98,0.0,0.0
4095,Uleila del Campo,812,584,0.12,0.96,0.89,0.0,0.99,0.9,0.9,1.0,0.0,0.0
4096,Urrácal,371,311,0.0,0.49,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4097,Velefique,248,325,0.0,0.98,0.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4098,Vélez-Blanco,1.925,1.781,0.15,0.93,0.74,0.0,0.92,0.62,0.65,0.99,0.84,0.0
4099,Vélez-Rubio,6.528,4.703,0.07,0.88,0.72,0.0,0.84,0.72,0.61,0.99,0.91,0.0
4100,Vera,18.224,20.560,0.05,1.0,1.0,0.0,1.0,1.0,0.95,1.0,0.98,0.88
4101,Viator,6.066,2.605,0.29,1.0,0.9,0.0,1.0,0.78,0.79,1.0,1.0,0.88
4102,Vícar,27.631,11.509,0.07,1.0,0.94,0.0,1.0,0.88,0.87,1.0,1.0,0.33
4103,Zurgena,2.912,1.793,0.13,0.94,0.86,0.0,1.0,0.76,0.72,0.99,0.06,0.0
4901,Las Tres Villas,573,369,0.0,0.97,0.68,0.0,0.98,0.61,0.61,1.0,0.0,0.0
4902,El Ejido,87.500,39.435,0.1,1.0,0.94,0.0,0.98,0.85,0.93,1.0,0.99,0.45
4903,La Mojonera,8.824,2.693,0.2,1.0,0.91,0.0,1.0,0.89,0.91,1.0,1.0,0.0
4904,Balanegra,2.886,1.651,0.0,1.0,0.97,0.0,1.0,0.96,0.96,1.0,1.0,0.96
5001,Adanero,214,264,0.58,1.0,0.0,0.0,0.94,0.0,0.0,1.0,0.89,0.0
5002,La Adrada,2.750,4.552,0.07,0.99,0.56,0.0,1.0,0.54,0.0,1.0,1.0,0.0
5005,Albornos,172,159,0.0,0.16,0.99,0.0,1.0,0.99,0.99,1.0,0.46,0.0
5007,Aldeanueva de Santa Cruz,104,162,0.0,0.22,0.97,0.0,0.52,0.0,0.93,0.29,0.0,0.0
5008,Aldeaseca,217,155,1.0,0.59,0.96,0.0,1.0,0.0,0.92,1.0,0.0,0.0
5010,La Aldehuela,148,290,0.0,0.53,0.72,0.0,0.96,0.0,0.68,0.95,0.0,0.0
5012,Amavida,133,205,0.0,0.04,0.96,0.0,0.95,0.95,0.8,0.97,0.5,0.0
5013,El Arenal,938,1.228,0.09,1.0,0.98,0.0,1.0,0.99,0.98,1.0,1.0,0.0
5014,Arenas de San Pedro,6.465,6.646,0.07,0.96,0.86,0.0,0.93,0.86,0.8,1.0,0.97,0.0
5015,Arevalillo,68,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
5016,Arévalo,7.884,4.934,0.13,0.99,0.99,0.0,0.99,0.98,0.98,1.0,1.0,0.84
5017,Aveinte,80,116,0.0,1.0,0.97,0.0,1.0,0.0,0.97,1.0,1.0,0.0
5018,Avellaneda,27,112,0.0,0.0,0.98,0.0,0.0,0.0,0.97,0.47,0.0,0.0
5019,Ávila,57.730,34.243,0.1,0.98,0.97,0.57,0.98,0.97,0.97,1.0,1.0,0.98
5021,El Barco de Ávila,2.249,2.396,0.12,1.0,0.78,0.0,1.0,0.72,0.0,1.0,1.0,0.0
5022,El Barraco,1.956,2.307,0.1,0.96,0.59,0.0,0.99,0.58,0.0,1.0,1.0,0.0
5023,Barromán,176,139,0.74,0.09,0.99,0.0,0.9,0.0,0.98,0.76,0.0,0.0
5024,Becedas,172,610,0.0,0.99,0.0,0.0,0.7,0.0,0.0,1.0,0.99,0.0
5025,Becedillas,78,188,0.0,0.41,0.99,0.0,0.98,0.98,0.98,0.96,0.0,0.0
5026,Bercial de Zapardiel,190,144,0.0,1.0,0.99,0.0,0.99,0.0,0.99,1.0,0.0,0.0
5027,Las Berlanas,338,267,0.13,0.06,0.93,0.0,0.89,0.0,0.93,1.0,0.02,0.0
5029,Bernuy-Zapardiel,90,103,0.0,0.75,0.94,0.0,0.0,0.0,0.93,1.0,0.0,0.0
5030,Berrocalejo de Aragona,53,88,0.0,0.88,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02
5033,Blascomillán,173,188,0.0,0.97,0.92,0.0,0.76,0.0,0.0,1.0,0.0,0.0
5034,Blasconuño de Matacabras,14,20,0.0,0.15,0.0,0.0,0.93,0.0,0.0,1.0,0.0,0.0
5035,Blascosancho,99,224,0.0,0.93,0.0,0.0,0.03,0.0,0.0,1.0,1.0,0.0
5036,El Bohodón,111,144,0.0,0.36,0.97,0.0,1.0,0.97,0.95,1.0,0.0,0.0
5037,Bohoyo,230,736,0.0,0.31,0.0,0.0,1.0,0.0,0.0,0.82,0.38,0.0
5038,Bonilla de la Sierra,124,359,0.0,0.41,0.71,0.0,0.85,0.71,0.65,0.95,0.08,0.0
5039,Brabos,41,74,0.0,0.09,0.97,0.0,0.0,0.0,0.96,0.62,0.41,0.0
5040,Bularros,59,106,0.0,0.17,0.92,0.0,0.0,0.0,0.27,1.0,0.06,0.0
5041,Burgohondo,1.196,1.691,0.08,0.99,0.0,0.0,0.99,0.0,0.0,1.0,1.0,0.0
5042,Cabezas de Alambre,157,114,0.0,1.0,0.99,0.0,1.0,0.0,0.99,1.0,0.0,0.0
5043,Cabezas del Pozo,79,98,1.0,0.15,1.0,0.0,1.0,0.0,0.94,0.96,0.0,0.0
5044,Cabezas del Villar,244,478,0.37,0.0,0.93,0.0,1.0,0.0,0.9,0.12,0.11,0.0
5045,Cabizuela,85,91,0.0,0.0,0.93,0.0,0.0,0.0,0.91,0.55,0.03,0.0
5046,Canales,37,30,0.0,0.8,1.0,0.0,0.57,0.0,1.0,1.0,0.0,0.0
5047,Candeleda,5.044,5.584,0.05,0.87,0.71,0.0,0.98,0.68,0.56,0.98,0.96,0.81
5048,Cantiveros,97,111,0.0,0.0,1.0,0.0,0.93,0.0,1.0,1.0,0.0,0.0
5049,Cardeñosa,425,408,0.02,0.96,0.95,0.0,1.0,0.96,0.97,1.0,0.0,0.0
5051,La Carrera,157,305,0.0,1.0,0.0,0.0,0.99,0.0,0.0,1.0,1.0,0.0
5052,Casas del Puerto,80,173,0.0,1.0,0.99,0.0,1.0,0.98,0.99,1.0,0.0,0.0
5053,Casasola,67,179,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.69,0.27,0.0
5054,Casavieja,1.418,2.271,0.04,0.66,0.72,0.0,0.98,0.62,0.0,1.0,0.23,0.0
5055,Casillas,649,1.056,0.06,1.0,0.81,0.0,0.95,0.0,0.0,1.0,0.53,0.0
5056,Castellanos de Zapardiel,90,78,0.0,0.0,0.9,0.0,0.0,0.0,0.88,0.52,0.27,0.0
5057,Cebreros,3.213,3.098,0.14,0.99,0.95,0.0,0.99,0.91,0.91,1.0,0.99,0.0
5058,Cepeda la Mora,74,189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5059,Cillán,75,135,0.0,1.0,0.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5060,Cisla,102,86,0.0,0.0,0.98,0.0,0.0,0.0,0.98,0.7,0.0,0.0
5061,La Colilla,358,331,0.35,0.49,0.0,0.0,0.99,0.0,0.0,1.0,0.99,0.04
5062,Collado de Contreras,148,165,0.06,0.04,0.97,0.0,1.0,0.98,0.97,1.0,0.0,0.0
5063,Collado del Mirón,27,70,0.0,0.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5064,Constanzana,101,79,0.0,0.0,0.71,0.0,0.97,0.0,0.69,0.55,0.0,0.0
5065,Crespos,481,388,0.36,0.9,0.96,0.0,1.0,0.82,0.95,1.0,0.0,0.0
5066,Cuevas del Valle,523,724,0.04,0.65,0.95,0.0,0.98,0.95,0.91,1.0,1.0,0.0
5067,Chamartín,63,125,0.0,1.0,0.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5069,Donjimeno,69,51,0.0,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
5070,Donvidas,30,30,0.0,0.0,0.97,0.0,0.0,0.0,0.97,0.87,0.01,0.0
5072,Espinosa de los Caballeros,104,73,0.0,0.23,0.0,0.0,0.81,0.0,0.0,1.0,0.42,0.0
5073,Flores de Ávila,279,318,0.0,0.98,0.96,0.0,0.84,0.0,0.18,1.0,0.0,0.0
5074,Fontiveros,719,588,0.25,0.82,0.75,0.0,1.0,0.0,0.4,1.0,0.0,0.0
5075,Fresnedilla,106,178,0.0,0.87,0.92,0.0,1.0,0.93,0.88,1.0,0.08,0.0
5076,El Fresno,593,425,0.0,0.64,0.0,0.0,1.0,0.0,0.0,0.95,0.95,0.01
5077,Fuente el Saúz,160,118,0.0,0.0,0.98,0.0,0.0,0.0,0.92,0.74,0.0,0.0
5078,Fuentes de Año,92,123,0.0,0.93,0.96,0.0,1.0,0.0,0.94,1.0,0.0,0.0
5079,Gallegos de Altamiros,58,208,0.0,0.75,0.92,0.0,0.0,0.0,0.91,0.97,0.0,0.0
5080,Gallegos de Sobrinos,47,168,0.0,0.48,0.51,0.0,1.0,0.0,0.49,0.89,0.81,0.0
5081,Garganta del Villar,41,74,0.0,0.76,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5082,Gavilanes,573,842,0.17,0.96,0.93,0.0,0.97,0.94,0.9,1.0,1.0,0.0
5083,Gemuño,154,177,0.0,0.07,0.0,0.0,0.13,0.0,0.0,0.78,0.63,0.0
5084,Gilbuena,58,202,0.0,0.85,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5085,Gil García,41,94,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5086,Gimialcón,72,94,0.0,0.89,0.97,0.0,0.37,0.0,0.0,1.0,0.0,0.0
5087,Gotarrendura,174,122,0.31,0.0,0.98,0.0,0.92,0.0,0.95,1.0,0.17,0.0
5088,Grandes y San Martín,33,58,0.0,0.45,0.91,0.0,0.0,0.0,0.9,0.75,0.0,0.0
5089,Guisando,497,652,0.26,0.63,0.93,0.0,0.98,0.96,0.94,1.0,1.0,0.0
5090,Gutierre-Muñoz,63,103,0.0,0.0,0.0,0.0,0.65,0.0,0.0,1.0,0.73,0.0
5092,Hernansancho,153,162,0.43,0.99,0.91,0.0,1.0,0.9,0.9,1.0,1.0,0.0
5093,Herradón de Pinares,501,1.484,0.26,1.0,0.68,0.0,0.97,0.0,0.0,1.0,0.81,0.0
5094,Herreros de Suso,140,173,0.0,1.0,0.94,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5095,Higuera de las Dueñas,270,543,0.09,1.0,0.94,0.0,1.0,0.95,0.92,1.0,0.73,0.0
5096,La Hija de Dios,86,165,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.76,0.0
5097,La Horcajada,482,730,0.0,0.97,0.92,0.0,0.99,0.93,0.91,0.98,0.89,0.0
5099,Horcajo de las Torres,469,421,0.5,0.0,0.99,0.0,0.86,0.0,0.99,1.0,0.0,0.0
5100,El Hornillo,270,415,0.25,1.0,0.96,0.0,1.0,0.96,0.95,1.0,1.0,0.0
5101,Hoyocasero,276,516,0.14,0.77,0.98,0.0,1.0,0.99,0.95,1.0,0.98,0.0
5102,El Hoyo de Pinares,2.169,2.309,0.05,0.98,0.76,0.0,1.0,0.76,0.0,1.0,1.0,0.0
5103,Hoyorredondo,58,131,0.0,0.47,0.65,0.0,0.31,0.0,0.64,0.87,0.07,0.0
5104,Hoyos del Collado,29,53,0.0,1.0,0.89,0.0,0.92,0.92,0.89,1.0,1.0,0.0
5105,Hoyos del Espino,364,435,0.21,1.0,0.74,0.0,0.97,0.93,0.9,1.0,1.0,0.0
5106,Hoyos de Miguel Muñoz,25,68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5107,Hurtumpascual,45,162,0.0,0.72,0.0,0.0,1.0,0.0,0.0,0.95,0.96,0.0
5108,Junciana,39,177,0.01,0.11,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5109,Langa,456,298,0.62,0.74,0.98,0.0,0.82,0.0,0.97,1.0,0.0,0.0
5110,Lanzahíta,819,1.050,0.2,0.99,0.93,0.0,1.0,0.95,0.91,1.0,0.0,0.0
