cmun,municipality,population,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
8124,Mollet del Vallès,51.294,20.643,0.19,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.93
8125,Montcada i Reixac,36.666,14.720,0.22,0.99,0.98,0.0,0.99,0.98,0.98,1.0,0.99,0.59
8126,Montgat,12.277,5.131,0.05,0.98,1.0,0.0,1.0,0.99,0.99,1.0,1.0,0.24
8127,Monistrol de Montserrat,3.166,1.558,0.14,0.47,0.97,0.0,0.99,0.97,0.97,1.0,0.13,0.0
8128,Monistrol de Calders,742,482,0.25,0.99,0.94,0.0,1.0,0.74,0.0,1.0,0.0,0.0
8129,Muntanyola,700,386,0.14,0.1,0.95,0.0,0.91,0.82,0.61,0.65,0.2,0.0
8130,Montclar,136,85,0.0,0.68,0.01,0.0,0.88,0.0,0.0,1.0,0.97,0.0
8131,Montesquiu,1.059,617,0.0,0.9,0.93,0.0,0.96,0.93,0.92,1.0,0.99,0.0
8132,Montmajor,484,265,0.23,0.86,0.0,0.0,0.95,0.0,0.0,0.99,0.91,0.0
8133,Montmaneu,166,115,0.53,1.0,0.0,0.0,0.85,0.0,0.0,1.0,0.0,0.0
8134,Figaró-Montmany,1.108,519,0.3,0.96,0.91,0.0,0.97,0.9,0.0,0.97,0.01,0.0
8135,Montmeló,8.793,3.455,0.0,1.0,1.0,0.0,0.99,0.99,1.0,1.0,1.0,0.69
8136,Montornès del Vallès,16.707,6.547,0.18,1.0,0.99,0.0,1.0,0.99,0.99,1.0,1.0,0.6
8137,Montseny,370,210,0.23,0.78,0.02,0.0,0.25,0.02,0.0,0.98,0.02,0.0
8138,Moià,6.548,3.019,0.1,0.82,0.99,0.0,0.99,0.97,0.99,1.0,0.66,0.54
8139,Mura,232,243,0.0,0.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8140,Navarcles,6.067,2.718,0.23,1.0,1.0,0.0,1.0,0.99,0.99,1.0,1.0,0.99
8141,Navàs,6.018,2.886,0.17,0.97,0.95,0.0,0.98,0.95,0.95,1.0,0.95,0.0
8142,La Nou de Berguedà,179,65,0.49,0.88,0.0,0.0,0.74,0.0,0.0,1.0,0.37,0.0
8143,Òdena,3.728,1.486,0.0,0.73,0.99,0.0,1.0,0.99,0.94,1.0,0.9,0.0
8144,Olvan,876,491,0.08,0.87,0.45,0.0,0.93,0.46,0.47,1.0,0.85,0.09
8145,Olèrdola,3.884,1.643,0.06,0.85,0.95,0.0,0.98,0.97,0.95,1.0,0.75,0.0
8146,Olesa de Bonesvalls,2.016,1.058,0.09,0.53,0.93,0.0,0.99,0.98,0.93,1.0,0.25,0.05
8147,Olesa de Montserrat,24.272,9.881,0.16,1.0,0.99,0.0,0.98,0.97,0.99,1.0,1.0,0.42
8148,Olivella,4.339,2.192,0.07,0.92,0.98,0.0,1.0,1.0,0.98,0.99,0.99,0.0
8149,Olost,1.206,595,0.26,0.98,0.92,0.0,0.96,0.86,0.85,0.98,0.13,0.0
8150,Orís,347,118,0.0,0.74,0.87,0.0,0.9,0.51,0.66,0.98,0.77,0.0
8151,Oristà,573,300,0.0,0.67,0.69,0.0,0.76,0.61,0.57,1.0,0.0,0.0
8152,Orpí,159,74,0.0,0.14,0.93,0.0,0.97,0.95,0.0,1.0,0.77,0.0
8153,Òrrius,793,328,0.01,1.0,0.95,0.0,0.99,0.9,0.02,1.0,0.0,0.0
8154,Pacs del Penedès,935,369,0.15,0.99,0.91,0.0,1.0,1.0,0.94,1.0,1.0,0.0
8155,Palafolls,9.661,4.375,0.15,0.98,0.93,0.0,0.97,0.94,0.93,1.0,0.99,0.12
8156,Palau-solità i Plegamans,14.911,5.667,0.11,0.98,0.96,0.0,0.99,0.98,0.97,1.0,1.0,0.86
8157,Pallejà,11.593,4.576,0.09,0.95,0.99,0.0,0.99,0.99,0.99,1.0,0.98,0.0
8158,El Papiol,4.274,1.760,0.23,0.8,0.98,0.0,0.99,0.97,0.97,1.0,1.0,0.41
8159,Parets del Vallès,18.889,7.285,0.22,1.0,0.99,0.0,1.0,0.99,0.99,1.0,1.0,0.85
8160,Perafita,418,263,0.45,0.6,0.8,0.0,0.94,0.76,0.0,1.0,0.79,0.0
8161,Piera,16.787,8.381,0.06,0.83,0.99,0.0,0.99,0.98,0.96,1.0,0.96,0.37
8162,Els Hostalets de Pierola,3.127,1.621,0.15,0.86,0.92,0.0,0.96,0.93,0.82,0.99,0.89,0.0
8163,Pineda de Mar,28.083,16.559,0.03,1.0,0.99,0.0,0.99,0.99,0.99,1.0,1.0,0.82
8164,El Pla del Penedès,1.335,695,0.4,0.97,0.97,0.0,1.0,1.0,0.97,1.0,0.89,0.0
8165,La Pobla de Claramunt,2.275,1.013,0.11,0.98,1.0,0.0,1.0,1.0,0.98,1.0,1.0,0.0
8166,La Pobla de Lillet,1.079,907,0.11,0.91,0.95,0.0,1.0,0.0,0.0,1.0,1.0,0.0
8167,Polinyà,8.451,3.200,0.22,1.0,0.99,0.0,0.99,0.98,0.98,1.0,1.0,0.98
8168,Pontons,507,515,0.0,0.92,0.0,0.0,0.66,0.0,0.0,1.0,0.39,0.0
8169,El Prat de Llobregat,65.030,25.608,0.14,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.97
8170,Els Prats de Rei,554,319,0.0,0.83,0.83,0.0,0.96,0.0,0.0,1.0,0.0,0.0
8171,Prats de Lluçanès,2.627,1.265,0.09,0.92,0.97,0.0,0.99,0.98,0.96,1.0,0.95,0.0
8172,Premià de Mar,28.518,12.145,0.14,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9
8174,Puigdàlber,555,245,0.0,0.98,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
8175,Puig-reig,4.327,2.095,0.24,0.76,0.9,0.0,0.94,0.89,0.87,0.99,0.96,0.0
8176,Pujalt,204,152,0.0,0.02,0.71,0.0,0.23,0.0,0.0,0.96,0.01,0.0
8177,La Quar,47,31,0.0,0.32,0.0,0.0,1.0,0.0,0.0,1.0,0.67,0.0
8178,Rajadell,545,156,0.0,0.64,0.0,0.0,0.56,0.0,0.02,1.0,0.35,0.0
8179,Rellinars,915,521,0.04,0.97,0.9,0.0,0.99,0.97,0.95,1.0,0.56,0.0
8180,Ripollet,39.031,15.384,0.05,1.0,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0
8181,La Roca del Vallès,10.776,4.404,0.18,0.96,0.95,0.0,0.97,0.95,0.95,1.0,0.93,0.17
8182,El Pont de Vilomara i Rocafort,4.024,1.899,0.28,0.88,0.81,0.0,0.97,0.81,0.57,1.0,0.94,0.83
8183,Roda de Ter,6.555,2.762,0.06,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
8184,Rubí,79.007,31.629,0.09,0.98,0.99,0.0,1.0,0.99,0.99,1.0,0.99,0.7
8185,Rubió,244,93,0.0,0.56,0.24,0.0,0.25,0.25,0.0,0.92,0.12,0.0
8187,Sabadell,215.760,90.829,0.1,1.0,1.0,0.47,1.0,1.0,1.0,1.0,0.99,0.96
8188,Sagàs,157,65,0.0,0.89,0.0,0.0,0.35,0.0,0.0,1.0,0.75,0.0
8189,Sant Pere Sallavinera,167,92,0.0,0.67,0.21,0.0,0.54,0.0,0.0,1.0,0.0,0.0
8190,Saldes,298,259,0.25,0.88,0.0,0.0,0.67,0.0,0.0,0.95,0.96,0.0
8191,Sallent,6.805,3.301,0.17,0.99,0.98,0.0,0.99,0.97,0.97,1.0,0.99,0.0
8192,Santpedor,7.612,3.159,0.1,0.97,0.99,0.0,1.0,1.0,1.0,1.0,0.99,0.23
8193,Sant Iscle de Vallalta,1.433,742,0.18,0.8,0.8,0.0,0.93,0.53,0.55,1.0,0.38,0.0
8194,Sant Adrià de Besòs,36.918,15.418,0.12,1.0,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0
8195,Sant Agustí de Lluçanès,100,70,0.24,0.84,0.81,0.0,0.93,0.83,0.0,1.0,0.87,0.0
8196,Sant Andreu de la Barca,26.965,10.106,0.09,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.69
8197,Sant Andreu de Llavaneres,11.593,5.516,0.19,0.99,0.93,0.0,0.97,0.95,0.95,1.0,0.99,0.79
8198,Sant Antoni de Vilamajor,6.483,2.970,0.11,0.98,0.94,0.0,0.98,0.95,0.94,1.0,1.0,0.07
8199,Sant Bartomeu del Grau,924,355,0.31,0.92,0.86,0.0,0.94,0.72,0.68,1.0,0.07,0.0
8200,Sant Boi de Llobregat,83.371,33.354,0.09,1.0,1.0,0.0,1.0,0.99,0.99,1.0,1.0,0.73
8201,Sant Boi de Lluçanès,575,325,0.61,0.8,0.94,0.0,0.93,0.86,0.0,0.99,0.07,0.0
8202,Sant Celoni,18.285,7.654,0.19,0.99,0.97,0.0,0.99,0.98,0.98,1.0,1.0,0.71
8203,Sant Cebrià de Vallalta,3.619,2.165,0.09,0.81,0.92,0.0,0.98,0.97,0.94,1.0,0.96,0.05
8204,Sant Climent de Llobregat,4.170,1.590,0.03,1.0,0.88,0.0,0.98,0.97,0.96,1.0,0.99,0.01
8205,Sant Cugat del Vallès,95.725,34.290,0.14,0.97,0.96,0.27,1.0,0.99,0.99,1.0,0.95,0.59
8206,Sant Cugat Sesgarrigues,1.009,403,0.18,0.56,0.97,0.0,1.0,1.0,0.97,1.0,0.89,0.0
8207,Sant Esteve de Palautordera,3.043,1.135,0.04,0.99,0.94,0.0,0.99,0.96,0.96,1.0,1.0,0.0
8208,Sant Esteve Sesrovires,7.889,3.317,0.17,0.95,0.98,0.0,0.99,0.98,0.98,1.0,0.78,0.01
8209,Sant Fost de Campsentelles,9.064,3.266,0.06,1.0,0.91,0.0,0.96,0.94,0.93,1.0,0.98,0.74
8210,Sant Feliu de Codines,6.460,2.818,0.12,0.99,0.98,0.0,0.99,0.98,0.98,1.0,1.0,0.87
8211,Sant Feliu de Llobregat,45.642,18.309,0.14,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95
8212,Sant Feliu Sasserra,611,364,0.39,0.92,0.94,0.0,0.93,0.86,0.8,1.0,0.0,0.0
8213,Sant Fruitós de Bages,9.025,3.792,0.19,0.89,0.97,0.0,0.99,0.99,0.98,1.0,0.99,0.05
8214,Vilassar de Dalt,9.128,3.712,0.08,0.89,0.99,0.0,1.0,0.99,0.99,1.0,0.52,0.31
8215,Sant Hipòlit de Voltregà,3.644,1.647,0.15,0.99,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
8216,Sant Jaume de Frontanyà,31,20,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.55,0.6,0.0
8217,Sant Joan Despí,34.039,13.561,0.16,1.0,1.0,0.21,1.0,1.0,1.0,1.0,1.0,1.0
8218,Sant Joan de Vilatorrada,10.820,4.358,0.19,1.0,1.0,0.0,0.99,0.98,0.99,1.0,1.0,0.0
8219,Vilassar de Mar,21.067,10.000,0.11,1.0,0.96,0.0,1.0,0.99,0.99,1.0,1.0,0.46
8220,Sant Julià de Vilatorta,3.193,1.364,0.03,0.97,0.98,0.0,0.98,0.96,0.94,1.0,0.96,0.0
8221,Sant Just Desvern,19.806,7.719,0.12,0.97,0.99,0.0,1.0,0.99,0.99,1.0,0.99,0.79
8222,Sant Llorenç d'Hortons,2.503,1.195,0.2,0.77,0.9,0.0,0.97,0.93,0.91,1.0,0.86,0.0
8223,Sant Llorenç Savall,2.524,1.329,0.1,0.89,0.9,0.0,0.97,0.94,0.92,0.97,0.0,0.0
8224,Sant Martí de Centelles,1.232,545,0.0,0.99,0.91,0.0,0.95,0.89,0.88,1.0,0.89,0.0
8225,Sant Martí d'Albars,119,71,0.01,0.59,0.77,0.0,0.54,0.21,0.0,1.0,0.55,0.0
8226,Sant Martí de Tous,1.243,567,0.31,0.34,0.91,0.0,0.96,0.92,0.0,0.99,0.12,0.0
8227,Sant Martí Sarroca,3.313,1.561,0.2,0.96,0.9,0.0,0.96,0.92,0.9,1.0,0.95,0.0
8228,Sant Martí Sesgueioles,361,245,0.26,0.0,0.9,0.0,0.25,0.0,0.0,1.0,0.05,0.0
8229,Sant Mateu de Bages,628,366,0.01,0.64,0.0,0.0,0.32,0.0,0.0,0.95,0.02,0.0
8230,Premià de Dalt,10.400,4.231,0.07,0.98,0.98,0.0,1.0,0.99,0.99,1.0,0.98,0.85
8231,Sant Pere de Ribes,31.688,13.882,0.1,0.98,0.97,0.0,0.98,0.97,0.96,1.0,0.99,0.27
8232,Sant Pere de Riudebitlles,2.404,1.173,0.19,0.98,0.98,0.0,0.99,0.99,0.98,1.0,0.06,0.0
8233,Sant Pere de Torelló,2.514,1.047,0.0,0.99,0.99,0.0,1.0,0.97,0.98,1.0,0.3,0.0
8234,Sant Pere de Vilamajor,4.815,2.342,0.02,0.67,0.87,0.0,0.95,0.91,0.85,1.0,0.92,0.0
8235,Sant Pol de Mar,5.680,3.886,0.12,1.0,0.96,0.0,0.98,0.96,0.96,1.0,1.0,0.0
8236,Sant Quintí de Mediona,2.393,1.203,0.12,0.98,0.98,0.0,1.0,1.0,0.98,1.0,0.99,0.0
8237,Sant Quirze de Besora,2.142,1.064,0.18,1.0,0.99,0.0,0.99,0.98,0.98,1.0,1.0,0.0
8238,Sant Quirze del Vallès,20.180,7.705,0.12,1.0,0.99,0.0,1.0,0.99,0.99,1.0,1.0,0.75
8239,Sant Quirze Safaja,672,444,0.0,0.98,0.66,0.0,0.77,0.65,0.01,0.99,0.8,0.0
8240,Sant Sadurní d'Anoia,12.863,5.468,0.21,0.99,0.98,0.0,0.99,0.97,0.98,1.0,1.0,0.0
8241,Sant Sadurní d'Osormort,90,120,0.0,0.95,0.86,0.0,1.0,0.55,0.0,0.98,0.0,0.0
8242,Marganell,282,252,0.0,0.58,0.03,0.0,0.14,0.01,0.02,0.8,0.48,0.0
8243,Santa Cecília de Voltregà,185,70,0.0,0.46,0.66,0.0,0.13,0.13,0.04,1.0,0.12,0.0
8244,Santa Coloma de Cervelló,8.309,3.012,0.07,0.78,0.99,0.0,1.0,0.99,0.99,1.0,0.91,0.06
8245,Santa Coloma de Gramenet,117.981,46.587,0.09,1.0,1.0,0.52,1.0,1.0,1.0,1.0,1.0,0.95
8246,Santa Eugènia de Berga,2.256,950,0.27,1.0,0.94,0.0,0.98,0.96,0.95,1.0,0.72,0.0
8247,Santa Eulàlia de Riuprimer,1.401,529,0.5,0.99,0.99,0.0,1.0,0.99,0.99,1.0,0.99,0.0
8248,Santa Eulàlia de Ronçana,7.740,3.136,0.07,0.98,0.94,0.0,0.97,0.94,0.93,1.0,0.99,0.0
8249,Santa Fe del Penedès,370,125,0.0,1.0,0.98,0.0,0.96,0.92,0.99,1.0,1.0,0.0
8250,Santa Margarida de Montbui,10.294,4.209,0.0,1.0,0.99,0.0,0.98,0.98,0.97,1.0,0.95,0.01
8251,Santa Margarida i els Monjos,7.624,3.105,0.1,1.0,0.97,0.0,0.98,0.96,0.97,1.0,1.0,0.13
8252,Barberà del Vallès,33.082,13.554,0.13,1.0,1.0,0.65,1.0,1.0,1.0,1.0,1.0,1.0
8253,Santa Maria de Besora,159,94,0.0,0.89,0.84,0.0,0.94,0.69,0.01,1.0,0.98,0.0
8254,L'Esquirol,2.245,1.066,0.2,0.72,0.97,0.0,0.97,0.94,0.91,1.0,0.2,0.0
8255,Santa Maria de Merlès,184,105,0.0,0.76,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8256,Santa Maria de Martorelles,889,365,0.33,1.0,0.96,0.0,0.98,0.97,0.98,1.0,1.0,0.01
8257,Santa Maria de Miralles,138,101,0.0,0.88,0.07,0.0,0.0,0.0,0.0,1.0,0.05,0.0
8258,Santa Maria d'Oló,1.063,501,0.36,0.97,0.95,0.0,0.93,0.85,0.0,1.0,0.03,0.0
8259,Santa Maria de Palautordera,9.777,4.092,0.03,1.0,0.96,0.0,0.99,0.97,0.96,1.0,1.0,0.01
8260,Santa Perpètua de Mogoda,25.930,9.682,0.17,0.9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.89
8261,Santa Susanna,3.755,1.987,0.06,1.0,0.92,0.0,0.99,0.98,0.95,1.0,0.95,0.35
8262,Sant Vicenç de Castellet,9.949,4.167,0.23,1.0,0.99,0.0,1.0,0.99,0.99,1.0,1.0,0.52
8263,Sant Vicenç dels Horts,28.079,10.782,0.09,0.96,0.99,0.0,1.0,1.0,1.0,1.0,1.0,0.8
8264,Sant Vicenç de Montalt,6.661,3.548,0.09,0.83,0.97,0.0,0.99,0.97,0.97,1.0,0.98,0.21
8265,Sant Vicenç de Torelló,2.077,919,0.0,0.93,0.96,0.0,0.97,0.94,0.96,1.0,0.89,0.01
8266,Cerdanyola del Vallès,57.291,22.878,0.09,1.0,0.99,0.54,1.0,0.99,1.0,1.0,0.99,0.85
8267,Sentmenat,9.417,3.752,0.36,0.86,0.96,0.0,0.99,0.97,0.97,0.99,0.93,0.05
8268,Cercs,1.169,1.060,0.44,0.62,0.6,0.0,0.8,0.6,0.6,1.0,0.96,0.0
8269,Seva,3.736,1.872,0.07,0.78,0.94,0.0,0.98,0.96,0.96,1.0,0.97,0.08
8270,Sitges,31.222,18.618,0.08,1.0,0.98,0.0,0.99,0.99,0.99,1.0,0.98,0.18
8271,Sobremunt,83,58,0.0,0.28,0.9,0.0,0.96,0.93,0.0,0.99,0.38,0.0
8272,Sora,219,123,0.02,0.78,0.54,0.0,0.9,0.26,0.01,1.0,0.27,0.0
8273,Subirats,3.241,1.572,0.19,0.68,0.95,0.0,0.99,0.98,0.95,1.0,0.78,0.01
8274,Súria,5.921,2.789,0.29,0.99,0.96,0.0,0.98,0.96,0.78,1.0,0.0,0.0
8275,Tavèrnoles,329,167,0.0,0.48,0.78,0.0,0.78,0.56,0.57,0.98,0.36,0.0
8276,Tagamanent,340,139,0.0,1.0,0.15,0.0,0.69,0.15,0.15,1.0,0.68,0.0
8277,Talamanca,219,239,0.0,0.83,0.53,0.0,0.98,0.0,0.03,1.0,0.01,0.0
8278,Taradell,6.699,2.879,0.14,0.97,0.97,0.0,0.98,0.95,0.94,1.0,0.89,0.0
8279,Terrassa,224.114,97.939,0.1,1.0,1.0,0.68,1.0,1.0,1.0,1.0,1.0,0.88
8280,Tavertet,116,192,0.0,0.86,0.77,0.0,0.88,0.76,0.0,0.99,0.29,0.0
8281,Teià,6.635,2.597,0.01,0.96,0.99,0.0,1.0,0.99,0.99,1.0,0.97,0.01
8282,Tiana,9.110,3.437,0.01,1.0,0.98,0.0,0.99,0.98,0.99,1.0,0.99,0.0
8283,Tona,8.368,3.543,0.25,1.0,0.98,0.0,0.99,0.98,0.98,1.0,0.97,0.93
8284,Tordera,18.022,9.425,0.07,0.87,0.81,0.0,0.84,0.8,0.8,1.0,0.97,0.41
8285,Torelló,14.726,6.101,0.07,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.66
8286,La Torre de Claramunt,3.966,2.218,0.05,0.95,1.0,0.0,1.0,1.0,0.52,1.0,1.0,0.0
8287,Torrelavit,1.457,695,0.0,0.85,0.86,0.0,0.98,0.96,0.85,1.0,0.09,0.0
8288,Torrelles de Foix,2.557,1.799,0.0,0.64,0.9,0.0,0.99,0.97,0.88,0.97,0.87,0.0
8289,Torrelles de Llobregat,6.186,2.525,0.14,1.0,0.96,0.0,0.99,0.97,0.97,1.0,1.0,0.49
8290,Ullastrell,2.139,802,0.24,0.81,0.98,0.0,0.97,0.94,0.93,0.99,0.96,0.0
8291,Vacarisses,7.325,3.408,0.05,0.98,0.97,0.0,1.0,0.99,0.99,1.0,0.95,0.0
8292,Vallbona d'Anoia,1.387,656,0.32,1.0,1.0,0.0,1.0,0.99,0.0,1.0,1.0,0.0
8293,Vallcebre,268,250,0.0,0.94,0.0,0.0,0.87,0.0,0.0,1.0,1.0,0.0
8294,Vallgorguina,3.144,1.585,0.0,0.97,0.73,0.0,0.82,0.82,0.81,1.0,0.98,0.0
8295,Vallirana,15.658,6.661,0.04,0.96,0.97,0.0,1.0,0.99,0.99,1.0,0.95,0.83
8296,Vallromanes,2.632,1.142,0.1,1.0,0.91,0.0,0.98,0.89,0.88,1.0,0.63,0.0
8297,Veciana,182,120,0.01,0.42,0.17,0.0,0.26,0.1,0.0,0.94,0.1,0.0
8298,Vic,47.545,18.935,0.26,0.99,1.0,0.0,1.0,1.0,0.99,1.0,1.0,0.21
8299,Vilada,439,252,0.56,0.77,0.98,0.0,0.96,0.92,0.0,0.99,0.99,0.0
8300,Viladecavalls,7.644,2.896,0.03,1.0,0.96,0.0,0.99,0.98,0.97,1.0,1.0,0.23
8301,Viladecans,66.720,25.866,0.08,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.97
8302,Vilanova del Camí,12.699,5.192,0.08,0.99,1.0,0.0,1.0,1.0,1.0,1.0,0.99,0.17
8303,Vilanova de Sau,320,254,0.29,0.84,0.52,0.0,0.95,0.45,0.0,1.0,0.9,0.0
8304,Vilobí del Penedès,1.130,455,0.0,0.99,0.87,0.0,1.0,1.0,0.9,1.0,1.0,0.0
8305,Vilafranca del Penedès,40.056,17.752,0.22,0.99,0.99,0.85,0.99,0.99,0.99,1.0,1.0,0.0
8306,Vilalba Sasserra,748,312,0.29,1.0,0.96,0.0,0.97,0.95,0.94,1.0,0.77,0.0
8307,Vilanova i la Geltrú,68.152,32.190,0.18,1.0,0.97,0.0,0.99,0.97,0.96,1.0,1.0,0.27
8308,Viver i Serrateix,166,91,0.01,0.68,0.51,0.0,0.47,0.0,0.0,0.99,0.22,0.0
8901,Rupit i Pruit,279,288,0.28,0.86,0.76,0.0,0.85,0.69,0.0,1.0,0.98,0.0
8902,Vilanova del Vallès,5.557,2.166,0.22,0.98,0.97,0.0,0.99,0.99,0.98,1.0,0.82,0.18
8903,Sant Julià de Cerdanyola,241,214,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
8904,Badia del Vallès,13.163,5.444,0.02,1.0,1.0,0.96,1.0,1.0,0.99,1.0,1.0,1.0
8905,La Palma de Cervelló,3.026,1.260,0.0,1.0,0.97,0.0,0.98,0.98,0.98,1.0,0.98,0.0
9001,Abajas,29,82,0.0,0.46,0.0,0.0,0.16,0.0,0.0,1.0,0.0,0.0
9003,Adrada de Haza,199,242,0.27,1.0,0.99,0.0,1.0,0.99,0.97,1.0,0.0,0.0
9006,Aguas Cándidas,62,205,0.0,0.51,0.0,0.0,0.57,0.0,0.0,0.92,0.97,0.0
9007,Aguilar de Bureba,51,80,0.0,0.55,0.0,0.0,0.65,0.0,0.0,1.0,0.0,0.0
9009,Albillos,220,147,0.22,0.64,0.97,0.0,1.0,0.0,0.62,1.0,1.0,0.0
9010,Alcocero de Mola,40,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9011,Alfoz de Bricia,76,355,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.99,0.46,0.0
9012,Alfoz de Santa Gadea,103,171,0.0,0.26,0.0,0.0,0.48,0.0,0.0,0.96,0.54,0.0
9013,Altable,47,91,0.14,1.0,0.0,0.0,0.41,0.0,0.0,1.0,0.0,0.0
9014,Los Altos,178,421,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.92,0.26,0.0
9016,Ameyugo,121,74,0.18,0.69,0.99,0.0,0.41,0.0,0.93,1.0,0.87,0.0
9017,Anguix,162,188,0.25,0.84,0.98,0.0,1.0,0.99,0.99,1.0,0.0,0.0
9018,Aranda de Duero,33.172,19.191,0.11,0.98,0.99,0.72,0.99,0.98,0.98,1.0,0.98,0.36
9019,Arandilla,153,256,0.0,0.31,0.97,0.0,0.77,0.0,0.96,1.0,0.0,0.0
9020,Arauzo de Miel,278,489,0.1,0.0,0.98,0.0,1.0,1.0,0.99,0.74,0.22,0.0
9021,Arauzo de Salce,46,137,0.0,1.0,0.88,0.0,0.94,0.94,0.94,1.0,0.0,0.0
9022,Arauzo de Torre,74,246,0.0,1.0,0.92,0.0,0.0,0.0,0.9,1.0,0.0,0.0
9023,Arcos,1.840,955,0.0,0.88,0.88,0.0,0.99,0.88,0.86,1.0,0.98,0.0
9024,Arenillas de Riopisuerga,176,147,0.2,0.29,0.0,0.0,0.54,0.0,0.0,0.77,0.0,0.0
9025,Arija,108,416,0.0,0.27,0.0,0.0,0.98,0.0,0.0,1.0,1.0,0.0
9026,Arlanzón,416,555,0.0,0.93,0.4,0.0,0.65,0.44,0.43,1.0,0.0,0.0
9027,Arraya de Oca,45,64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9029,Atapuerca,182,224,0.02,1.0,0.0,0.0,0.28,0.0,0.0,1.0,0.32,0.0
9030,Los Ausines,138,258,0.0,0.75,0.0,0.0,0.26,0.0,0.0,0.94,0.0,0.0
9032,Avellanosa de Muñó,100,156,0.0,0.19,0.42,0.0,0.0,0.0,0.0,0.79,0.74,0.0
9033,Bahabón de Esgueva,81,172,0.13,0.77,0.95,0.0,0.52,0.0,0.0,1.0,0.99,0.0
9034,Los Balbases,316,311,0.06,0.01,0.0,0.0,0.09,0.0,0.0,0.21,0.0,0.0
9035,Baños de Valdearados,332,528,0.0,0.98,0.93,0.0,1.0,0.0,0.97,1.0,1.0,0.0
9036,Bañuelos de Bureba,34,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0
9037,Barbadillo de Herreros,110,230,0.0,1.0,0.83,0.0,1.0,0.0,0.0,1.0,0.99,0.0
9038,Barbadillo del Mercado,141,283,0.0,1.0,0.91,0.0,1.0,0.96,0.94,1.0,1.0,0.0
9039,Barbadillo del Pez,68,181,0.0,1.0,0.96,0.0,0.35,0.0,0.0,1.0,0.0,0.0
9041,Barrio de Muñó,32,35,0.0,0.06,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9043,Los Barrios de Bureba,179,429,0.13,0.46,0.39,0.0,0.94,0.0,0.0,1.0,0.03,0.0
9044,Barrios de Colina,56,67,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9045,Basconcillos del Tozo,293,443,0.0,0.52,0.0,0.0,0.02,0.0,0.0,0.91,0.52,0.0
9046,Bascuñana,20,80,0.0,0.88,0.81,0.0,1.0,0.0,0.37,1.0,0.0,0.0
9047,Belbimbre,56,73,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.92,0.0,0.0
9048,Belorado,1.787,2.016,0.11,0.96,0.84,0.0,0.99,0.78,0.84,0.99,0.95,0.0
9050,Berberana,52,135,0.13,0.91,0.0,0.0,0.93,0.0,0.0,1.0,0.0,0.0
9051,Berlangas de Roa,182,252,0.29,0.01,0.9,0.0,0.99,0.0,0.0,1.0,0.37,0.0
9052,Berzosa de Bureba,27,57,0.0,0.63,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0
9054,Bozoó,100,154,0.0,0.87,0.0,0.0,0.92,0.0,0.0,1.0,0.0,0.0
9055,Brazacorta,48,115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9056,Briviesca,6.374,5.205,0.09,0.97,0.94,0.0,0.97,0.94,0.93,1.0,0.99,0.0
9057,Bugedo,195,148,0.03,0.96,0.91,0.0,1.0,0.0,0.0,1.0,0.8,0.0
9058,Buniel,602,380,0.28,1.0,0.86,0.0,1.0,0.86,0.86,1.0,0.0,0.0
9059,Burgos,173.483,93.151,0.07,1.0,0.99,0.74,0.99,0.98,0.97,1.0,0.99,0.89
9060,Busto de Bureba,138,247,0.0,0.07,0.99,0.0,0.08,0.0,0.0,1.0,0.3,0.0
