cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,total_population
8150,oris,barcelona,102,62,100,204,230,698
8151,oristà,barcelona,172,48,112,314,496,1142
8152,orpi,barcelona,68,26,32,128,104,358
8153,òrrius,barcelona,298,118,156,542,498,1612
8154,pacs,barcelona,354,142,176,532,682,1886
8155,palafolls,barcelona,3774,1724,2054,6598,5716,19866
8156,palau-solità,barcelona,5418,2794,3244,9366,10066,30888
8157,pallejà,barcelona,4476,1998,2290,7544,7314,23622
8158,"papiol,",barcelona,1598,640,972,2732,2774,8716
8159,parets,barcelona,6718,3040,3942,12068,11990,37758
8160,perafita,barcelona,144,60,76,258,338,876
8161,piera,barcelona,6392,2984,3810,11578,10356,35120
8162,hostalets,barcelona,1300,546,658,2254,1706,6464
8163,pineda,barcelona,9468,4458,5856,17540,21508,58830
8164,pla,barcelona,554,168,244,946,792,2704
8165,pobla,barcelona,890,380,526,1484,1432,4712
8166,pobla,barcelona,240,116,206,522,1130,2214
8167,polinyà,barcelona,3638,1354,1678,6376,4072,17118
8168,pontons,barcelona,130,72,88,358,388,1036
8169,prat,barcelona,22860,9684,14220,40632,44424,131820
8170,prats,barcelona,160,74,92,326,456,1108
8171,prats,barcelona,832,348,636,1340,2236,5392
8172,premià,barcelona,9446,4442,5986,17420,20562,57856
8174,puigdàlber,barcelona,296,78,102,404,378,1258
8175,puig-reig,barcelona,1392,604,966,2380,3622,8964
8176,pujalt,barcelona,68,18,34,116,188,424
8177,"quar,",barcelona,14,12,2,30,30,88
8178,rajadell,barcelona,196,76,116,398,402,1188
8179,rellinars,barcelona,318,120,202,676,524,1840
8180,ripollet,barcelona,14976,6818,8448,25552,23066,78860
8181,roca,barcelona,3960,1914,2100,6968,6970,21912
8182,pont,barcelona,1548,658,854,2638,2580,8278
8183,roda,barcelona,2588,1094,1766,4102,4216,13766
8184,rubi,barcelona,30178,13644,18304,52234,48686,163046
8185,rubio,barcelona,70,26,58,142,184,480
8187,sabadell,barcelona,80102,35182,52064,132692,143088,443128
8188,sagàs,barcelona,58,32,22,98,98,308
8189,sant,barcelona,66,26,12,100,112,316
8190,saldes,barcelona,52,32,56,150,310,600
8191,sallent,barcelona,2198,996,1358,3982,5330,13864
8192,santpedor,barcelona,3024,1170,1328,4812,5080,15414
8193,sant,barcelona,564,202,296,982,882,2926
8194,sant,barcelona,14146,6570,9838,23560,23230,77344
8195,sant,barcelona,40,4,34,54,84,216
8196,sant,barcelona,10254,4838,5262,17764,15960,54078
8197,sant,barcelona,4210,2148,2282,7086,8158,23884
8198,sant,barcelona,2570,1056,1236,4268,4178,13308
8199,sant,barcelona,386,84,200,552,656,1878
8200,sant,barcelona,29082,13210,18532,51382,56970,169176
8201,sant,barcelona,126,58,102,278,584,1148
8202,sant,barcelona,6794,2954,4326,11424,11918,37416
8203,sant,barcelona,1456,480,708,2696,2284,7624
8204,sant,barcelona,1622,760,742,2752,2486,8362
8205,sant,barcelona,42300,18784,20622,59580,56012,197298
8206,sant,barcelona,412,160,188,614,682,2056
8207,sant,barcelona,1242,604,606,1924,1786,6162
8208,sant,barcelona,2840,1392,1568,5222,5056,16078
8209,sant,barcelona,3100,1540,1698,5522,6532,18392
8210,sant,barcelona,2302,1104,1584,4286,3972,13248
8211,sant,barcelona,15984,7720,9296,28592,31170,92762
8212,sant,barcelona,192,76,116,310,564,1258
8213,sant,barcelona,3560,1604,1746,5926,5614,18450
8214,vilassar,barcelona,3194,1458,1812,5588,6546,18598
8215,sant,barcelona,1258,652,852,2254,2352,7368
8216,sant,barcelona,6,6,2,16,22,52
8217,sant,barcelona,12406,5820,7690,21360,22748,70024
8218,sant,barcelona,3838,1864,2104,6704,7434,21944
8219,vilassar,barcelona,7368,3424,3880,12342,15324,42338
8220,sant,barcelona,1190,508,702,1888,2312,6600
8221,sant,barcelona,9062,2990,4042,13414,12122,41630
8222,sant,barcelona,974,414,544,1674,1628,5234
8223,sant,barcelona,828,332,516,1508,1976,5160
8224,sant,barcelona,440,186,332,796,766,2520
8225,sant,barcelona,58,8,20,80,114,280
8226,sant,barcelona,554,220,224,750,798,2546
8227,sant,barcelona,1188,546,652,2090,2294,6770
8228,sant,barcelona,96,60,98,188,278,720
8229,sant,barcelona,176,56,142,336,564,1274
8230,premià,barcelona,3862,1772,1882,6204,7428,21148
8231,sant,barcelona,11752,5446,6420,20362,20032,64012
8232,sant,barcelona,918,376,452,1556,1688,4990
8233,sant,barcelona,914,318,520,1616,1824,5192
8234,sant,barcelona,1764,826,924,3270,3062,9846
8235,sant,barcelona,1910,954,1042,3542,4172,11620
8236,sant,barcelona,992,402,556,1536,1536,5022
8237,sant,barcelona,656,328,376,1216,1678,4254
8238,sant,barcelona,7930,3686,3556,12092,12956,40220
8239,sant,barcelona,232,114,102,496,398,1342
8240,sant,barcelona,4712,2122,2700,7612,8684,25830
8241,sant,barcelona,10,4,10,68,78,170
8242,marganell,barcelona,84,32,68,218,218,620
8243,santa,barcelona,72,16,44,110,142,384
8244,santa,barcelona,3304,1616,1380,5584,4784,16668
8245,santa,barcelona,42568,18860,28842,74630,76906,241806
8246,santa,barcelona,740,356,534,1342,1628,4600
8247,santa,barcelona,646,206,310,978,832,2972
8248,santa,barcelona,3060,1244,1370,5260,4898,15832
8249,santa,barcelona,124,70,66,228,232,720
8250,santa,barcelona,4400,1606,2252,6234,6546,21038
8251,santa,barcelona,3236,1222,1548,5136,4294,15436
8252,barberà,barcelona,12288,5032,6798,21646,21524,67288
8253,santa,barcelona,42,20,38,76,152,328
8254,"esquirol,",barcelona,712,288,502,1184,1864,4550
8255,santa,barcelona,82,24,26,118,100,350
8256,santa,barcelona,308,140,188,540,568,1744
8257,santa,barcelona,36,20,22,84,112,274
8258,santa,barcelona,352,128,160,638,878,2156
8259,santa,barcelona,3552,1684,1924,6198,6630,19988
8260,santa,barcelona,9758,4634,5326,16434,15720,51872
8261,santa,barcelona,1556,600,800,2590,2452,7998
8262,sant,barcelona,3672,1496,2028,6420,6646,20262
8263,sant,barcelona,10002,4916,6194,17422,18656,57190
8264,sant,barcelona,2364,1320,1036,4064,4666,13450
8265,sant,barcelona,742,326,402,1246,1464,4180
8266,cerdanyola,barcelona,18180,10150,12736,33358,41238,115662
8267,sentmenat,barcelona,3784,1512,1906,6338,5506,19046
8268,cercs,barcelona,324,128,216,652,1066,2386
8269,seva,barcelona,1296,578,678,2408,2642,7602
8270,sitges,barcelona,10170,4878,6296,20866,22782,64992
8271,sobremunt,barcelona,46,20,28,40,68,202
8272,sora,barcelona,82,24,48,130,154,438
8273,subirats,barcelona,1076,502,702,1864,2430,6574
8274,suria,barcelona,1946,870,1408,3196,4724,12144
8275,tavernoles,barcelona,134,30,74,210,234,682
8276,tagamanent,barcelona,108,54,70,260,186,678
8277,talamanca,barcelona,68,30,28,120,178,424
8278,taradell,barcelona,2498,1038,1332,4072,4716,13656
8279,terrassa,barcelona,85374,36798,52950,141378,140088,456588
8280,tavertet,barcelona,16,14,42,64,126,262
8281,teià,barcelona,2532,1120,1228,3902,4842,13624
8282,tiana,barcelona,3570,1556,1744,5770,6006,18646
8283,tona,barcelona,3036,1380,1826,5146,5610,16998
8284,tordera,barcelona,7080,2880,3770,12252,11608,37590
8285,torello,barcelona,5342,2300,3382,8974,10216,30214
8286,torre,barcelona,1426,708,820,2552,2724,8230
8287,torrelavit,barcelona,568,222,254,1032,942,3018
8288,torrelles,barcelona,970,410,604,1584,1756,5324
8289,torrelles,barcelona,2394,1008,1148,4168,3554,12272
8290,ullastrell,barcelona,982,370,324,1530,1152,4358
8291,vacarisses,barcelona,3150,1306,1536,5456,3650,15098
8292,vallbona,barcelona,496,226,232,858,998,2810
8293,vallcebre,barcelona,40,34,54,158,258,544
8294,vallgorguina,barcelona,1310,440,632,2360,1664,6406
8295,vallirana,barcelona,5882,2794,3132,10370,9726,31904
8296,vallromanes,barcelona,1078,548,472,1702,1698,5498
8297,veciana,barcelona,76,26,14,108,126,350
8298,vic,barcelona,19408,9134,12486,30056,27582,98666
8299,vilada,barcelona,108,32,84,228,434,886
8300,viladecavalls,barcelona,2864,1386,1440,4590,5300,15580
8301,viladecans,barcelona,24418,10934,13918,43182,41906,134358
8302,vilanova,barcelona,4954,2024,2674,8020,8034,25706
8303,vilanova,barcelona,76,24,60,196,278,634
8304,vilobi,barcelona,474,192,170,658,804,2298
8305,vilafranca,barcelona,15884,6670,8834,25130,26564,83082
8306,vilalba,barcelona,292,136,168,558,406,1560
8307,vilanova,barcelona,23000,10778,14586,42380,49842,140586
8308,viver,barcelona,70,28,22,78,148,346
8901,rupit,barcelona,52,26,48,142,294,562
8902,vilanova,barcelona,2366,994,928,3946,3054,11288
8903,sant,barcelona,60,28,44,122,208,462
8904,badia,barcelona,4378,2064,2768,7784,9224,26218
8905,palma,barcelona,980,438,744,1790,2144,6096
9001,abajas,burgos,4,0,6,8,38,56
9003,adrada,burgos,28,34,52,78,218,410
9006,aguas,burgos,8,2,6,24,78,118
9007,aguilar,burgos,4,6,4,26,60,100
9009,albillos,burgos,80,34,30,160,126,430
9010,alcocero,burgos,4,6,8,8,56,82
9011,alfoz,burgos,0,6,10,42,78,136
9012,alfoz,burgos,12,10,12,52,116,202
9013,altable,burgos,6,2,16,16,52,92
9014,"altos,",burgos,4,14,32,94,228,372
9016,ameyugo,burgos,38,12,18,64,82,214
9017,anguix,burgos,46,20,48,74,128,316
9018,aranda,burgos,11266,4564,7012,19548,24960,67350
9019,arandilla,burgos,24,4,36,78,168,310
9020,arauzo,burgos,44,34,46,124,296,544
9021,arauzo,burgos,16,0,10,28,38,92
9022,arauzo,burgos,6,4,2,28,82,122
9023,arcos,burgos,1088,210,216,1576,586,3676
9024,arenillas,burgos,44,6,38,62,188,338
9025,arija,burgos,22,10,20,58,120,230
9026,arlanzon,burgos,58,32,60,206,498,854
9027,arraya,burgos,10,2,10,32,52,106
9029,atapuerca,burgos,22,8,32,124,178,364
9030,"ausines,",burgos,30,12,18,86,184,330
9032,avellanosa,burgos,4,4,14,40,132,194
9033,bahabon,burgos,4,2,18,28,116,168
9034,"balbases,",burgos,44,20,54,148,346,612
9035,banos,burgos,86,42,48,172,292,640
9036,banuelos,burgos,0,2,4,16,40,62
9037,barbadillo,burgos,2,6,12,58,130,208
9038,barbadillo,burgos,12,8,24,50,172,266
9039,barbadillo,burgos,6,8,12,24,82,132
9041,barrio,burgos,14,2,2,16,30,64
9043,barrios,burgos,8,14,26,84,224,356
9044,barrios,burgos,2,0,8,36,64,110
9045,basconcillos,burgos,24,32,58,124,350,588
9046,bascunana,burgos,0,0,4,8,24,36
9047,belbimbre,burgos,8,8,12,34,48,110
9048,belorado,burgos,476,216,348,936,1696,3672
9050,berberana,burgos,2,2,10,34,48,96
9051,berlangas,burgos,48,24,44,88,202,406
9052,berzosa,burgos,0,0,2,14,36,52
9054,bozoo,burgos,16,4,8,52,124,204
9055,brazacorta,burgos,12,0,2,22,54,90
9056,briviesca,burgos,1894,1010,1314,3760,5116,13094
9057,bugedo,burgos,54,20,14,136,158,382
9058,buniel,burgos,280,90,110,498,244,1222
9059,burgos,burgos,56132,26036,34884,98364,137686,353102
9060,busto,burgos,14,18,24,54,176,286
9061,cabanes,burgos,4,6,30,78,180,298
9062,cabezon,burgos,0,0,0,8,64,72
9063,cavia,burgos,40,18,74,158,214,504
9064,caleruega,burgos,68,48,84,190,384,774
9065,campillo,burgos,48,24,14,114,144,344
9066,campolara,burgos,2,0,4,26,64,96
9067,canicosa,burgos,76,52,62,188,472,850
9068,cantabrana,burgos,0,8,2,0,36,46
9070,carazo,burgos,2,4,8,14,50,78
9071,carcedo,burgos,2,2,10,16,44,74
9072,carcedo,burgos,150,54,82,336,348,970
9073,cardenadijo,burgos,634,214,214,1136,662,2860
9074,cardenajimeno,burgos,444,192,190,766,744,2336
9075,cardenuela,burgos,26,10,24,54,108,222
9076,carrias,burgos,0,4,4,12,28,48
9077,cascajares,burgos,6,0,0,10,38,54
9078,cascajares,burgos,0,0,0,8,46,54
9079,castellanos,burgos,8,4,8,20,52,92
9082,castildelgado,burgos,2,0,0,22,46,70
9083,castil,burgos,2,0,2,12,40,56
9084,castrillo,burgos,16,4,14,72,210,316
9085,castrillo,burgos,216,90,110,366,458,1240
9086,castrillo,burgos,258,114,190,504,572,1638
9088,castrillo,burgos,2,0,6,30,78,116
9090,castrillo,burgos,4,8,6,24,62,104
9091,castrojeriz,burgos,110,76,142,358,874,1560
9093,cayuela,burgos,64,12,30,124,146,376
9094,cebrecos,burgos,6,6,18,30,56,116
9095,celada,burgos,16,6,2,50,106,180
9098,cerezo,burgos,68,40,82,204,588,982
9100,cerraton,burgos,0,2,6,20,62,90
9101,ciadoncha,burgos,6,6,4,30,100,146
9102,cillaperlata,burgos,0,0,2,18,40,60
9103,cilleruelo,burgos,36,20,22,94,246,418
9104,cilleruelo,burgos,4,10,2,22,60,98
9105,ciruelos,burgos,8,4,8,44,134,198
9108,cogollos,burgos,258,96,146,474,380,1354
9109,condado,burgos,520,184,242,1196,838,2980
9110,contreras,burgos,8,6,10,36,114,174
9112,coruna,burgos,8,18,16,40,118,200
9113,covarrubias,burgos,90,52,84,246,538,1010
9114,cubillo,burgos,22,12,32,52,86,204
9115,cubo,burgos,28,6,8,66,96,204
9117,cueva,burgos,8,6,14,42,110,180
9119,cuevas,burgos,4,0,2,22,62,90
9120,encio,burgos,4,4,0,22,52,82
9122,espinosa,burgos,8,4,14,40,104,170
9123,espinosa,burgos,0,4,4,18,58,84
9124,espinosa,burgos,428,142,234,910,1582,3296
9125,estepar,burgos,70,86,92,300,722,1270
9127,fontioso,burgos,8,0,2,30,68,108
9128,frandovinez,burgos,34,6,12,70,70,192
9129,fresneda,burgos,12,14,10,40,118,194
9130,fresnena,burgos,0,10,10,24,88,132
9131,fresnillo,burgos,298,98,94,478,424,1392
9132,fresno,burgos,16,8,34,62,202,322
9133,fresno,burgos,8,14,6,34,36,98
9134,frias,burgos,52,22,48,140,278,540
9135,fuentebureba,burgos,12,2,12,24,62,112
9136,fuentecen,burgos,54,26,36,108,244,468
9137,fuentelcesped,burgos,100,24,68,168,190,550
9138,fuentelisendo,burgos,18,10,14,48,112,202
9139,fuentemolinos,burgos,6,0,16,50,110,182
9140,fuentenebro,burgos,24,10,18,88,136,276
9141,fuentespina,burgos,296,106,96,534,600,1632
9143,galbarros,burgos,2,4,6,10,32,54
9144,"gallega,",burgos,2,2,8,14,52,78
9148,grijalba,burgos,40,12,26,72,86,236
9149,grisalena,burgos,12,10,6,30,48,106
9151,gumiel,burgos,138,100,80,300,546,1164
9152,gumiel,burgos,122,68,82,218,280,770
9154,hacinas,burgos,22,22,12,70,168,294
9155,haza,burgos,10,0,2,22,34,68
9159,hontanas,burgos,4,4,18,38,76,140
9160,hontangas,burgos,16,16,14,56,96,198
9162,hontoria,burgos,46,6,46,114,136,348
9163,hontoria,burgos,70,54,120,226,748,1218
9164,hontoria,burgos,26,10,30,84,186,336
9166,"hormazas,",burgos,14,10,6,38,130,198
9167,hornillos,burgos,4,0,10,18,62,94
9168,"horra,",burgos,86,26,44,144,298,598
9169,hortiguela,burgos,8,4,20,40,142,214
9170,hoyales,burgos,30,18,40,110,226,424
9172,huermeces,burgos,28,6,14,84,174,306
9173,huerta,burgos,4,4,18,52,178,256
9174,huerta,burgos,196,106,160,404,894,1760
9175,humada,burgos,0,2,8,48,174,232
9176,hurones,burgos,10,8,6,36,46,106
9177,ibeas,burgos,486,212,242,912,1066,2918
9178,ibrillos,burgos,0,2,4,6,46,58
9179,iglesiarrubia,burgos,2,0,16,14,58,90
9180,iglesias,burgos,26,0,32,70,154,282
9181,isar,burgos,18,24,48,112,368,570
9182,itero,burgos,4,2,16,32,88,142
9183,jaramillo,burgos,0,2,12,14,66,94
9184,jaramillo,burgos,4,0,0,6,10,20
9189,junta,burgos,14,8,10,64,148,244
9190,junta,burgos,4,8,10,36,96,154
9191,jurisdiccion,burgos,0,0,4,20,58,82
9192,jurisdiccion,burgos,2,6,8,32,84,132
9194,lerma,burgos,752,398,482,1416,2092,5140
9195,llano,burgos,4,4,10,14,66,98
9196,madrigal,burgos,6,14,22,62,184,288
9197,madrigalejo,burgos,48,12,38,104,150,352
9198,mahamud,burgos,0,18,26,32,134,210
9199,mambrilla,burgos,10,14,24,62,100,210
9200,mambrillas,burgos,2,2,14,24,70,112
9201,mamolar,burgos,4,4,2,16,30,56
9202,manciles,burgos,0,0,0,12,30,42
9206,mazuela,burgos,4,4,6,30,70,114
9208,mecerreyes,burgos,18,30,30,68,228,374
9209,medina,burgos,1722,792,1070,3434,4940,11958
9211,melgar,burgos,296,160,336,686,1556,3034
9213,merindad,burgos,28,12,46,120,334,540
9214,merindad,burgos,112,48,86,478,758,1482
9215,merindad,burgos,84,24,48,210,458,824
9216,merindad,burgos,66,44,70,188,464,832
9217,merindad,burgos,46,26,82,182,470,806
9218,milagros,burgos,114,48,56,228,390,836
9219,miranda,burgos,11494,4976,6682,20910,27988,72050
9220,miraveche,burgos,12,6,16,38,118,190
9221,modubar,burgos,318,82,140,606,388,1534
9223,monasterio,burgos,0,0,6,20,54,80
9224,monasterio,burgos,20,26,28,104,158,336
9225,moncalvillo,burgos,4,2,8,30,108,152
9226,monterrubio,burgos,0,2,4,14,92,112
9227,montorio,burgos,24,16,30,96,132,298
9228,moradillo,burgos,28,20,22,78,192,340
9229,nava,burgos,46,12,22,120,198,398
9230,navas,burgos,0,0,0,14,34,48
9231,nebreda,burgos,4,0,4,20,82,110
9232,neila,burgos,8,12,14,36,168,238
9235,olmedillo,burgos,44,10,22,120,174,370
9236,olmillos,burgos,0,0,14,16,50,80
9238,ona,burgos,100,78,104,362,1262,1906
9239,oquillas,burgos,6,2,12,20,58,98
9241,orbaneja,burgos,134,60,92,230,184,700
9242,padilla,burgos,4,0,10,22,102,138
9243,padilla,burgos,12,10,32,34,96,184
9244,padrones,burgos,6,6,8,26,72,118
9246,palacios,burgos,126,92,138,316,682,1354
9247,palacios,burgos,6,0,4,8,18,36
9248,palazuelos,burgos,6,4,22,44,110,186
9249,palazuelos,burgos,4,10,4,30,60,108
9250,pampliega,burgos,32,36,38,144,330,580
9251,pancorbo,burgos,112,56,78,260,368,874
9253,pardilla,burgos,14,10,18,66,96,204
9255,partido,burgos,0,4,6,28,124,162
9256,pedrosa,burgos,124,62,102,254,380,922
9257,pedrosa,burgos,6,0,22,48,104,180
9258,pedrosa,burgos,20,6,20,58,224,328
9259,pedrosa,burgos,28,30,48,102,284,492
9261,penaranda,burgos,110,28,70,206,514,928
9262,peral,burgos,24,10,22,92,192,340
9265,piernigas,burgos,2,2,8,18,48,78
9266,pineda,burgos,0,8,24,40,116,188
9267,pineda,burgos,2,12,12,48,122,196
9268,pinilla,burgos,4,8,10,54,120,196
9269,pinilla,burgos,6,0,2,12,46,66
9270,pinilla,burgos,10,16,22,68,208,324
9272,poza,burgos,28,24,50,130,332,564
9273,pradanos,burgos,4,8,12,24,64,112
9274,pradoluengo,burgos,192,100,196,474,1178,2140
9275,presencio,burgos,20,10,50,96,240,416
9276,puebla,burgos,212,62,116,424,302,1116
9277,puentedura,burgos,6,14,20,54,150,244
9279,quemada,burgos,60,28,30,136,230,484
9280,quintanabureba,burgos,0,2,0,18,42,62
9281,quintana,burgos,38,22,20,86,138,304
9283,quintanaelez,burgos,4,6,4,18,62,94
9287,quintanaortuno,burgos,104,56,52,186,180,578
9288,quintanapalla,burgos,32,4,14,78,118,246
9289,quintanar,burgos,318,156,254,716,1560,3004
9292,quintanavides,burgos,2,4,14,24,84,128
9294,quintanilla,burgos,16,14,16,46,124,216
9295,quintanilla,burgos,4,2,6,38,50,100
9297,"quintanillas,",burgos,90,36,82,234,338,780
9298,quintanilla,burgos,4,4,10,34,84,136
9301,quintanilla,burgos,332,128,164,638,538,1800
9302,rabanera,burgos,4,2,10,38,144,198
9303,rabanos,burgos,10,0,8,34,106,158
9304,rabe,burgos,56,12,40,108,292,508
9306,rebolledo,burgos,6,6,10,42,118,182
9307,redecilla,burgos,10,10,8,46,114,188
9308,redecilla,burgos,14,6,10,40,64,134
9309,regumiel,burgos,56,20,52,176,292,596
9310,reinoso,burgos,0,2,6,14,14,36
9311,retuerta,burgos,6,4,8,24,76,118
9312,revilla,burgos,18,6,10,56,112,202
9314,revilla,burgos,6,4,6,44,128,188
9315,revillarruz,burgos,284,66,120,572,266,1308
9316,revilla,burgos,18,8,22,68,114,230
9317,rezmondo,burgos,0,0,4,2,28,34
9318,riocavado,burgos,4,0,8,16,82,110
9321,roa,burgos,696,322,470,1304,1804,4596
9323,rojas,burgos,10,10,4,26,66,116
9325,royuela,burgos,6,6,22,52,256,342
9326,rubena,burgos,70,30,54,132,152,438
9327,rublacedo,burgos,8,0,2,26,36,72
9328,rucandio,burgos,0,2,4,40,98,144
9329,salas,burgos,22,14,28,62,132,258
9330,salas,burgos,540,270,366,1080,1720,3976
9332,saldana,burgos,64,22,50,142,126,404
9334,salinillas,burgos,0,4,10,20,60,94
9335,san,burgos,4,4,20,44,100,172
9337,san,burgos,42,26,18,100,122,308
9338,san,burgos,86,56,46,196,236,620
9339,san,burgos,16,6,16,66,174,278
9340,san,burgos,0,4,4,28,90,126
9343,santa,burgos,16,4,30,28,132,210
9345,santa,burgos,26,12,42,70,144,294
9346,santa,burgos,14,4,6,74,108,206
9347,santa,burgos,26,14,32,84,170,326
9348,santa,burgos,18,6,30,72,184,310
9350,santa,burgos,112,48,90,284,512,1046
9351,santa,burgos,4,2,8,34,86,134
9352,santa,burgos,6,10,6,56,138,216
9353,santa,burgos,10,26,14,42,102,194
9354,santa,burgos,8,0,0,26,42,76
9355,santibanez,burgos,2,2,4,28,116,152
9356,santibanez,burgos,4,16,14,32,74,140
9358,santo,burgos,18,24,44,122,286,494
9360,san,burgos,0,2,2,22,30,56
9361,sargentes,burgos,12,10,22,70,152,266
9362,sarracin,burgos,82,28,44,154,220,528
9363,sasamon,burgos,98,78,154,414,1080,1824
9365,sequera,burgos,2,2,2,24,24,54
9366,solarana,burgos,0,12,8,28,108,156
9368,sordillos,burgos,0,0,2,2,40,44
9369,sotillo,burgos,98,56,116,226,448,944
9372,sotragero,burgos,106,64,26,228,178,602
9373,sotresgudo,burgos,40,18,56,232,492,838
9374,susinos,burgos,22,20,22,44,128,236
9375,tamaron,burgos,2,12,16,28,52,110
9377,tardajos,burgos,262,124,128,460,754,1728
9378,tejada,burgos,0,12,4,18,36,70
9380,terradillos,burgos,2,2,16,30,78,128
9381,tinieblas,burgos,0,0,4,2,44,50
9382,tobar,burgos,0,4,6,8,36,54
9384,tordomar,burgos,52,22,66,166,290,596
9386,torrecilla,burgos,28,6,16,40,68,158
9387,torregalindo,burgos,36,8,26,58,118,246
9388,torrelara,burgos,0,2,8,18,36,64
9389,torrepadre,burgos,4,0,4,20,106,134
9390,torresandino,burgos,66,58,92,312,618,1146
9391,tortoles,burgos,54,24,70,194,430,772
9392,tosantos,burgos,6,2,16,20,62,106
9394,trespaderne,burgos,126,66,94,356,784,1426
9395,tubilla,burgos,8,10,16,64,158,256
9396,tubilla,burgos,20,10,34,112,168,344
9398,urbel,burgos,0,0,2,42,72,116
9400,vadocondes,burgos,100,30,66,194,336,726
9403,valdeande,burgos,10,2,22,44,120,198
9405,valdezate,burgos,14,16,22,44,148,244
9406,valdorros,burgos,130,36,92,278,216,752
9407,valmala,burgos,2,0,0,16,34,52
9408,vallarta,burgos,0,6,4,24,50,84
9409,valle,burgos,12,20,8,52,140,232
9410,valle,burgos,1216,468,690,2584,3336,8294
9411,valle,burgos,20,14,30,94,172,330
9412,valle,burgos,168,98,126,418,914,1724
9413,valle,burgos,116,36,76,246,502,976
9414,valle,burgos,24,10,20,88,238,380
9415,valle,burgos,56,32,42,166,360,656
9416,valle,burgos,8,2,10,10,60,90
9417,vallejera,burgos,2,0,8,16,52,78
9418,valles,burgos,4,14,8,32,92,150
9419,valluercanes,burgos,2,2,6,24,90,124
9421,vid,burgos,38,14,48,102,288,490
9422,vid,burgos,2,4,6,6,30,48
9423,vilena,burgos,0,0,0,16,38,54
9424,viloria,burgos,4,4,6,12,48,74
9425,vilviestre,burgos,46,52,94,234,582,1008
9427,villadiego,burgos,214,100,280,718,1598,2910
9428,villaescusa,burgos,8,8,16,42,110,184
9429,villaescusa,burgos,10,4,12,30,62,118
9430,villaespasa,burgos,0,0,2,8,34,44
9431,villafranca,burgos,10,4,28,46,156,244
9432,villafruela,burgos,12,8,30,42,194,286
9433,villagalijo,burgos,6,0,6,20,72,104
9434,villagonzalo,burgos,906,312,280,1352,908,3758
9437,villahoz,burgos,30,24,54,116,330,554
9438,villalba,burgos,200,100,140,400,578,1418
9439,villalbilla,burgos,674,166,294,1192,718,3044
9440,villalbilla,burgos,6,2,6,44,90,148
9441,villaldemiro,burgos,20,8,26,40,88,182
9442,villalmanzo,burgos,52,50,90,200,424,816
9443,villamayor,burgos,24,6,48,60,194,332
9444,villamayor,burgos,0,2,6,20,84,112
9445,villambistia,burgos,2,0,6,10,70,88
9446,villamedianilla,burgos,0,0,0,6,12,18
9447,villamiel,burgos,2,0,0,18,66,86
9448,villangomez,burgos,14,24,44,112,268,462
9449,villanueva,burgos,30,20,12,78,104,244
9450,villanueva,burgos,2,0,0,14,38,54
9451,villanueva,burgos,42,30,52,178,256,558
9454,villanueva,burgos,2,2,2,22,56,84
9455,villaquiran,burgos,2,2,16,10,62,92
9456,villaquiran,burgos,16,10,20,74,162,282
9458,villariezo,burgos,322,84,88,582,368,1444
9460,villasandino,burgos,26,16,24,68,222,356
9463,villasur,burgos,32,28,52,148,288,548
9464,villatuelda,burgos,18,4,12,28,44,106
9466,villaverde,burgos,4,8,20,16,168,216
9467,villaverde-mogina,burgos,12,12,14,42,70,150
9471,villayerno,burgos,62,44,24,126,154,410
9472,villazopeque,burgos,2,2,2,34,64,104
9473,villegas,burgos,0,4,18,38,98,158
9476,villoruebo,burgos,6,0,4,36,80,126
9478,vizcainos,burgos,0,4,10,14,52,80
9480,zael,burgos,4,10,40,38,140,232
9482,zarzosa,burgos,0,0,2,14,46,62
9483,zazuar,burgos,36,30,50,94,208,418
9485,zuneda,burgos,0,6,8,28,72,114
9901,quintanilla,burgos,32,20,50,176,396,674
9902,valle,burgos,66,36,86,238,532,958
9903,villarcayo,burgos,1132,452,736,2360,3406,8086
9904,valle,burgos,84,56,74,322,546,1082
9905,valle,burgos,58,34,84,204,438,818
9906,merindad,burgos,370,158,232,858,1212,2830
9907,alfoz,burgos,960,348,396,1570,1004,4278
9908,valle,burgos,72,24,58,344,494,992
10001,abadia,caceres,80,54,72,168,290,664
10002,abertura,caceres,56,48,70,176,392,742
10003,acebo,caceres,92,56,74,272,668,1162
10004,acehuche,caceres,260,78,154,446,670,1608
10005,aceituna,caceres,154,72,92,334,516,1168
10006,ahigal,caceres,302,144,254,646,1346,2692
10007,albala,caceres,92,70,168,260,722,1312
10008,alcantara,caceres,262,138,272,650,1374,2696
10009,alcollarin,caceres,46,32,54,126,272,530
10010,alcuescar,caceres,608,340,530,1310,2164,4952
10011,aldeacentenera,caceres,108,84,134,260,598,1184
10012,aldea,caceres,122,50,122,268,640,1202
10013,aldea,caceres,50,36,42,140,310,578
10014,aldeanueva,caceres,452,234,386,1028,1890,3990
10015,aldeanueva,caceres,154,66,112,380,688,1400
10016,aldehuela,caceres,86,50,50,176,342,704
10017,alia,caceres,104,60,90,382,854,1490
10018,aliseda,caceres,402,212,316,958,1566,3454
10019,almaraz,caceres,520,182,362,950,1226,3240
10020,almoharin,caceres,484,202,376,942,1584,3588
10021,arroyo,caceres,1402,666,1118,3054,4800,11040
10022,arroyomolinos,caceres,76,50,104,178,452,860
