cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,total_population
31142,larraga,navarra,840,310,444,1214,1446,4254
31143,larraona,navarra,14,12,22,50,112,210
31144,larraun,navarra,282,116,154,476,788,1816
31145,lazagurria,navarra,26,24,36,94,172,352
31146,leache/leatxe,navarra,6,2,8,20,44,80
31147,legarda,navarra,50,14,22,88,118,292
31148,legaria,navarra,22,20,26,42,124,234
31149,leitza,navarra,1190,372,502,1734,2248,6046
31150,leoz/leotz,navarra,30,20,38,122,210,420
31151,lerga,navarra,2,4,2,14,68,90
31152,lerin,navarra,562,200,432,852,1496,3542
31153,lesaka,navarra,896,410,466,1522,2138,5432
31154,lezaun,navarra,62,36,80,116,202,496
31155,liedena,navarra,112,50,62,190,290,704
31156,lizoain-arriasgoiti/lizoainibar-arriasgoiti,navarra,94,40,42,198,202,576
31157,lodosa,navarra,1742,670,1216,2814,3376,9818
31158,longuida/longida,navarra,66,46,48,160,282,602
31159,lumbier,navarra,352,140,250,788,1130,2660
31160,luquin,navarra,34,24,28,68,110,264
31161,maneru,navarra,194,48,52,298,318,910
31162,maranon,navarra,0,4,2,28,66,100
31163,marcilla,navarra,1096,476,636,1632,1998,5838
31164,melida,navarra,202,114,120,390,636,1462
31165,mendavia,navarra,1084,456,694,1944,2862,7040
31166,mendaza,navarra,58,42,40,126,318,584
31167,mendigorria,navarra,482,162,222,762,822,2450
31168,metauten,navarra,54,32,32,150,256,524
31169,milagro,navarra,1438,496,908,2222,2192,7256
31170,mirafuentes,navarra,24,4,6,34,48,116
31171,miranda,navarra,284,120,176,488,732,1800
31172,monreal/elo,navarra,194,102,78,364,290,1028
31173,monteagudo,navarra,284,154,238,570,926,2172
31174,morentin,navarra,30,14,14,74,82,214
31175,mues,navarra,6,10,18,32,94,160
31176,murchante,navarra,1736,612,928,2546,2690,8512
31177,murieta,navarra,126,42,72,206,270,716
31178,murillo,navarra,242,86,162,420,504,1414
31179,murillo,navarra,190,134,184,320,528,1356
31180,muruzabal,navarra,54,46,50,152,248,550
31181,navascues/nabaskoze,navarra,0,6,14,64,152,236
31182,nazar,navarra,12,4,8,28,34,86
31183,obanos,navarra,270,142,184,520,686,1802
31184,oco,navarra,20,4,10,34,58,126
31185,ochagavia/otsagabia,navarra,58,62,80,226,554,980
31186,odieta,navarra,148,50,50,222,284,754
31187,oiz,navarra,30,22,30,74,114,270
31188,olaibar,navarra,104,68,80,266,300,818
31189,olazti/olazagutia,navarra,444,192,296,784,1204,2920
31190,olejua,navarra,10,0,4,32,48,94
31191,olite/erriberri,navarra,1352,576,896,2462,2908,8194
31192,oloriz/oloritz,navarra,82,30,38,136,144,430
31193,cendea,navarra,660,300,386,1044,1296,3686
31194,valle,navarra,150,82,98,260,316,906
31195,orbaizeta,navarra,46,18,42,84,188,378
31196,orbara,navarra,2,0,6,10,40,58
31197,orisoain,navarra,10,20,14,26,74,144
31198,oronz/orontze,navarra,12,10,16,30,34,102
31199,oroz-betelu/orotz-betelu,navarra,18,6,16,82,164,286
31200,oteiza,navarra,286,144,140,574,750,1894
31201,pamplona/iruna,navarra,64878,34572,48204,115714,153118,416486
31202,peralta/azkoien,navarra,2210,1022,1352,3484,3910,11978
31203,petilla,navarra,4,0,2,30,20,56
31204,piedramillera,navarra,6,4,12,34,34,90
31205,pitillas,navarra,140,48,98,282,482,1050
31206,puente,navarra,1056,474,590,1706,2020,5846
31207,pueyo/puiu,navarra,108,54,54,224,280,720
31208,ribaforada,navarra,1260,570,786,2124,2634,7374
31209,romanzado/erromantzatua,navarra,52,20,28,106,174,380
