cmun,municipality,province,autonomous_community,altitude,longitude,latitude,0-17,18-24,25-34,35-54,55+,male,female,total_population,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,vdsl_30mbps,fixed_wireless,ftth,hfc,reception_30mbps,reception_100mbps,reception_1gbps,4g,5g,"5g_3,5ghz",count_of_stations,suburban_train
1034,Leza,Álava,País Vasco,573.1453,-2.633635,42.56607,31,14,14,68,83,107,103,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,28.562857895110827,Haro,17.811528108566026,1.17589802061518,Hospital De Leza,3.848858329151222,Samaniegoko Haurreskola Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",257.0,0.17,1.0,0.9,0.0,1.0,0.9,0.92,1.0,1.0,0.0,,
1036,Laudio/Llodio,Álava,País Vasco,127.9116,-2.962985,43.14333,2716,1117,1474,5057,7606,8705,9265,17970,69.0,95.0,14.0,11.0,9.0,81.0,78.0,81.0,Aeropuerto de Bilbao,18.23247557388694,Nanclares-Langraiz,38.55692197328252,12.902963275928707,Sanatorio Bilbaíno,0.0878673556580543,Laudio Bhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,8846.0,0.09,1.0,0.97,0.04,0.99,0.98,0.98,1.0,0.99,0.0,3.0,1.0
1037,Arraia-Maeztu,Álava,País Vasco,657.7902,-2.44598,42.73981,149,42,51,267,314,451,372,823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,27.994761150677213,Agurain/Salvatierra De Alava,12.722600716129833,21.89109277405753,Hospital Quirónsalud Vitoria,0.1005860965827724,Maestu Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,682.0,0.03,0.86,0.79,0.0,1.0,0.79,0.8,0.98,0.33,0.0,,
1039,Moreda de Álava/Moreda Araba,Álava,País Vasco,463.9432,-2.40767,42.52802,20,11,34,49,101,114,101,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,10.629746963513472,Logroño,8.280438036056742,7.177599443446504,Hospital General De La Rioja,3.029550883198736,IESO Viana Del Camino DBHI,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,216.0,0.0,1.0,0.95,0.0,1.0,0.89,0.96,1.0,0.0,0.0,,
1041,Navaridas,Álava,País Vasco,524.3116,-2.624532,42.54517,29,11,29,48,86,114,89,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,26.98481493861677,Logroño,17.972318326884576,3.614147796245046,Hospital De Leza,3.2016308853653705,Elciego Hlhi,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",162.0,0.0,1.0,0.99,0.0,1.0,0.99,0.99,1.0,0.48,0.0,,
1042,Okondo,Álava,País Vasco,145.3144,-3.018889,43.16222,218,72,99,386,415,626,564,1190,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Bilbao,17.98678568121083,Nanclares-Langraiz,42.21171100064426,12.26453384356089,Hospital De Basurto,1.3989114770525586,Okondoko Haurreskola-Aurora Mendieta Phe,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,619.0,0.12,1.0,0.69,0.0,0.92,0.85,0.84,1.0,0.87,0.0,,
1043,Oyón-Oion,Álava,País Vasco,437.9938,-2.436965,42.50614,744,278,296,1059,1079,1747,1709,3456,56.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,11.116457163285926,Logroño,5.401200182356702,4.188475736613789,Hospital General De La Rioja,0.2254271378226365,Ps San Bizente Ikastola Hlbhip,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,1887.0,0.18,1.0,0.89,0.0,1.0,0.82,0.88,1.0,0.33,0.19,,
1044,Peñacerrada-Urizaharra,Álava,País Vasco,749.8625,-2.713375,42.6441,32,17,25,84,144,181,121,302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,26.15273684221489,Haro,13.016680939080365,9.73939638157222,Hospital De Leza,8.075259231673417,C.R.A. Entreviñas (Ábalos),Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",284.0,0.0,0.89,0.86,0.0,0.93,0.86,0.86,1.0,0.13,0.0,,
1046,Erriberagoitia/Ribera Alta,Álava,País Vasco,479.5812,-2.968477,42.71577,115,51,75,258,345,503,341,844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,26.57766932428877,Miranda De Ebro,3.570303618890012,5.410914918899224,Hospital Santiago Apóstol,2.922014412520154,Las Matillas,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",592.0,0.0,0.74,0.87,0.0,0.93,0.79,0.81,0.95,0.17,0.0,2.0,1.0
1047,Ribera Baja/Erriberabeitia,Álava,País Vasco,478.6605,-2.918541,42.71267,248,131,145,459,458,770,671,1441,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,24.022249700048288,Miranda De Ebro,3.057787910072232,7.529457635162165,Hospital Santiago Apóstol,0.3165722099531443,Unamunzaga Hlhi,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",712.0,0.07,0.99,0.91,0.0,1.0,0.91,0.92,1.0,0.76,0.0,1.0,0.0
