cmun,municipality,municipality_1,municipality_2,province,autonomous_community,latitude,longitude,altitude
2068,Robledo,robledo,,Albacete,Castilla La Mancha,38.75912,-2.448879,1029.824
2069,"Roda, La",rodala,,Albacete,Castilla La Mancha,39.0013,-1.868604,679.9437
2070,Salobre,salobre,,Albacete,Castilla La Mancha,38.59158,-2.551266,924.4268
2071,San Pedro,sanpedro,,Albacete,Castilla La Mancha,38.82642,-2.186141,844.3685
2072,Socovos,socovos,,Albacete,Castilla La Mancha,38.33348,-1.983432,751.4481
2073,Tarazona de la Mancha,tarazonadelamancha,,Albacete,Castilla La Mancha,39.26531,-1.912836,715.6435
2074,Tobarra,tobarra,,Albacete,Castilla La Mancha,38.58844,-1.693783,642.4951
2075,Valdeganga,valdeganga,,Albacete,Castilla La Mancha,39.13523,-1.677004,668.1237
2076,Vianos,vianos,,Albacete,Castilla La Mancha,38.63218,-2.501559,1117.031
2077,Villa de Ves,villadeves,,Albacete,Castilla La Mancha,39.22327,-1.26016,741.5894
2078,Villalgordo del Júcar,villalgordodeljucar,,Albacete,Castilla La Mancha,39.29626,-2.06341,687.8445
2079,Villamalea,villamalea,,Albacete,Castilla La Mancha,39.36189,-1.599296,743.7635
2080,Villapalacios,villapalacios,,Albacete,Castilla La Mancha,38.5746,-2.635532,837.8229
2081,Villarrobledo,villarrobledo,,Albacete,Castilla La Mancha,39.26726,-2.607643,728.5291
2082,Villatoya,villatoya,,Albacete,Castilla La Mancha,39.33326,-1.340224,416.7317
2083,Villavaliente,villavaliente,,Albacete,Castilla La Mancha,39.12596,-1.458606,728.5188
2084,Villaverde de Guadalimar,villaverdedeguadalimar,,Albacete,Castilla La Mancha,38.4555,-2.517869,796.1951
2085,Viveros,viveros,,Albacete,Castilla La Mancha,38.7733,-2.576014,1012.303
2086,Yeste,yeste,,Albacete,Castilla La Mancha,38.36583,-2.318711,862.6873
2901,Pozo Cañada,pozocanada,,Albacete,Castilla La Mancha,38.80128,-1.736837,826.6574
3002,Agost,agost,,Alicante,Valencia,38.44117,-0.6395459,332.424
3003,Agres,agres,,Alicante,Valencia,38.77988,-0.5156772,724.617
3004,Aigües,aigues,,Alicante,Valencia,38.49932,-0.3627366,325.356
3005,Albatera,albatera,,Alicante,Valencia,38.1806,-0.8696246,21.50101
3006,Alcalalí,alcalali,,Alicante,Valencia,38.75568,-0.046652,290.6824
3008,Alcoleja,alcoleja,,Alicante,Valencia,38.67542,-0.3323183,751.6678
3010,Alfafara,alfafara,,Alicante,Valencia,38.77266,-0.5552129,587.1841
3011,"Alfàs del Pi, l'",alfasdelpil',,Alicante,Valencia,38.58055,-0.1032094,96.30521
3012,Algorfa,algorfa,,Alicante,Valencia,38.08587,-0.7957607,29.95276
3013,Algueña,alguena,,Alicante,Valencia,38.33886,-1.003234,536.0125
3015,Almoradí,almoradi,,Alicante,Valencia,38.10963,-0.7920032,17.38357
3016,Almudaina,almudaina,,Alicante,Valencia,38.76115,-0.35386,575.8386
3017,"Alqueria d'Asnar, l'",alqueriad'asnarl',,Alicante,Valencia,38.77235,-0.4256638,358.3362
3018,Altea,altea,,Alicante,Valencia,38.60032,-0.0491708,21.23566
3019,Aspe,aspe,,Alicante,Valencia,38.34857,-0.7694142,230.3877
3020,Balones,balones,,Alicante,Valencia,38.73683,-0.3420584,663.7676
3021,Banyeres de Mariola,banyeresdemariola,,Alicante,Valencia,38.71685,-0.6558753,825.7204
3022,Benasau,benasau,,Alicante,Valencia,38.69114,-0.3437617,695.5562
3023,Beneixama,beneixama,,Alicante,Valencia,38.69995,-0.7661394,595.4329
3024,Benejúzar,benejuzar,,Alicante,Valencia,38.07839,-0.8384452,25.65035
3025,Benferri,benferri,,Alicante,Valencia,38.14063,-0.9632033,54.47756
3026,Beniarbeig,beniarbeig,,Alicante,Valencia,38.82312,-0.0020653,46.27847
3027,Beniardà,beniarda,,Alicante,Valencia,38.68372,-0.2160712,469.4673
3028,Beniarrés,beniarres,,Alicante,Valencia,38.81952,-0.3782794,391.1873
