,18-24,25-34,35-54
726,1,3,16
727,7,7,37
728,12,14,34
730,1,5,41
731,7,15,36
732,1,5,9
734,2,0,9
735,4,8,31
736,118,192,621
737,1,4,10
738,5,9,16
739,10,12,36
740,1,2,9
742,174,287,880
743,4,13,35
744,49,77,183
745,3,4,14
746,15,41,67
747,43,66,170
748,1,8,8
750,1,5,9
751,19,24,40
752,10,7,13
753,60,63,166
755,316,361,1346
756,4,3,31
757,36,49,149
758,94,177,497
759,113,149,463
761,128,160,716
762,15,31,82
763,1,4,21
764,53,83,178
765,144,234,789
766,16,16,41
767,9,11,36
768,120,181,469
769,4,2,29
770,5,3,15
771,5,4,18
772,108,146,447
773,3,2,13
774,1,4,9
775,74,124,249
776,27,69,248
777,8,8,42
778,3,2,12
779,8,11,45
780,2,6,10
781,0,8,35
782,95,224,582
783,1,0,9
784,3,9,30
785,4,16,21
786,8,15,48
787,2,1,9
788,21,39,108
789,12,17,55
790,1,5,13
791,170,237,801
792,6,17,32
793,265,379,1295
794,26,57,179
795,80,126,421
796,5,9,40
797,9,28,116
798,1,5,8
799,4,11,37
800,5,2,13
802,417,483,1305
804,44,90,322
805,26,30,98
806,34,39,106
807,34,43,135
808,0,6,15
809,1,3,12
810,18,27,57
812,78,139,258
813,46,80,242
814,25,23,83
815,22,32,64
816,23,25,60
818,3,10,41
819,65,90,261
820,17,31,71
821,2,1,7
822,14,14,68
823,27,27,112
824,8,3,26
825,0,0,16
826,5,4,22
827,12,18,56
828,341,472,1510
829,37,72,186
830,8,12,27
831,70,106,269
832,20,20,77
833,19,42,154
835,267,327,1311
836,16,16,51
837,17,18,70
838,7,13,47
839,1,5,9
840,0,1,10
841,155,222,607
842,6,13,24
843,64,119,350
844,138,250,939
845,96,147,432
846,3,9,19
847,0,1,13
848,2,5,10
849,11,6,26
850,19,13,62
851,5,9,45
852,0,2,8
853,7,11,38
855,2,0,5
856,19,18,88
857,2,5,17
858,13,26,78
859,8,20,80
860,72,120,276
861,15,10,65
862,0,2,6
863,11,24,56
865,12,13,39
866,11,29,48
867,46,45,218
868,122,191,618
869,98,139,421
870,15,18,96
871,0,2,3
872,32,64,163
873,10,25,74
874,52,65,266
