,longitude,municipality,latitude
262,-2.203089,Olaberria,43.02708
263,-2.688209,Ubide,43.02683
264,-1.779444,Basaburua,43.02667
265,-1.980945,Betelu,43.02534
266,-5.051342,Burón,43.02356
267,-8.638333,Val do Dubra,43.0225
268,-2.272826,Mutiloa,43.02238
269,-3.768611,Merindad de Valdeporres,43.02056
270,-2.52698,Eskoriatza,43.01707
271,-4.0,Campoo de Yuso,43.01667
272,-4.216667,Hermandad de Campoo de Suso,43.01667
273,-8.533333,Trazo,43.01667
274,-2.274118,Zerain,43.01212
275,-7.555851,Lugo,43.01208
276,-2.234214,Idiazabal,43.01178
277,-1.319766,Orreaga/Roncesvalles,43.00944
278,-9.11521,Dumbría,43.00933
279,-2.252519,Segura,43.00922
280,-8.127,Boimorto,43.008
281,-5.275887,Puebla de Lillo,43.00661
282,-7.239167,Baleira,43.00167
283,-1.891916,Lekunberri,43.0013
284,-4.139154,Reinosa,43.00071
285,-1.678056,Ultzama,43.0
286,-2.166667,Ataun,43.0
287,-1.620193,Lantz,42.9982
288,-3.009623,Urduña/Orduña,42.99445
289,-8.434846,Oroso,42.99442
290,-3.944695,Arija,42.99424
291,-1.939244,Larraun,42.9934
292,-1.335345,Auritz/Burguete,42.98929
293,-4.5,"Pernía, La",42.98833
294,-2.568626,Leintz-Gatzaga,42.98711
295,-3.219167,Valle de Losa,42.98667
296,-8.313807,"Pino, O",42.98462
297,-2.844,Zuia,42.98167
298,-1.589,Anue,42.979
299,-2.290072,Zegama,42.97568
300,-5.012101,Riaño,42.9748
301,-4.927529,Boca de Huérgano,42.97387
302,-5.412788,Valdelugueros,42.97364
303,-4.028184,"Rozas de Valdearroyo, Las",42.97274
304,-2.922222,Urkabustaiz,42.97194
305,-6.000573,San Emiliano,42.97181
306,-3.785833,Valle de Valdebezana,42.97055
307,-2.7183,Zigoitia,42.9682
308,-7.988449,Toques,42.96787
309,-1.783,Imotz,42.967
310,-4.15,Campoo de Enmedio,42.96667
311,-1.241657,Orbara,42.96646
312,-7.003865,Navia de Suarna,42.96486
313,-5.574712,Cármenes,42.95897
314,-3.950556,Alfoz de Santa Gadea,42.95555
315,-9.18975,Cee,42.95541
316,-1.265776,Aria,42.95305
317,-6.14876,Cabrillanes,42.95281
318,-1.533333,Esteribar,42.95
319,-5.199557,Reyero,42.94928
320,-1.286497,Garralda,42.94818
321,-1.23044,Hiriberri/Villanueva de Aezkoa,42.94518
322,-1.264723,Aribe,42.94472
323,-9.19431,Corcubión,42.94464
324,-1.447209,Erro,42.94243
325,-6.570541,Degaña,42.94008
326,-1.638,Odieta,42.94
327,-4.527209,Polentinos,42.93913
328,-8.992199,Mazaricos,42.93893
329,-5.655591,Villamanín,42.9384
330,-3.572985,Villarcayo de Merindad de Castilla la Vieja,42.9383
331,-7.415542,"Corgo, O",42.93829
332,-6.320078,Villablino,42.93821
333,-3.087131,Junta de Villalba de Losa,42.93537
334,-4.308174,Brañosera,42.93497
335,-1.244181,Garaioa,42.92982
336,-5.952073,Sena de Luna,42.92972
337,-3.487223,Medina de Pomar,42.92837
338,-8.164196,Arzúa,42.92717
339,-4.680885,Triollo,42.92432
340,-1.945243,Irañeta,42.9229
341,-2.000009,Arruazu,42.92223
342,-1.383022,Arce/Artzi,42.922
343,-2.023261,Lakuntza,42.92131
344,-3.060073,Berberana,42.91988
345,-1.8282,Irurtzun,42.91966
346,-1.861,Arakil,42.917
347,-2.491817,Barrundia,42.91669
348,-2.039817,Arbizu,42.9155
349,-8.014727,Melide,42.91393
350,-1.053661,Izalzu/Itzaltzu,42.91353
351,-8.736245,Negreira,42.90954
352,-4.28723,Barruelo de Santullán,42.90768
353,-1.090726,Ochagavía/Otsagabia,42.90578
354,-9.264338,Fisterra,42.90507
355,-1.207954,Abaurregaina/Abaurrea Alta,42.90345
356,-1.207954,Abaurrepea/Abaurrea Baja,42.90345
357,-5.14331,Crémenes,42.90305
358,-3.391667,Merindad de Cuesta-Urria,42.9
359,-8.633333,Ames,42.9
360,-3.690677,Valle de Manzanedo,42.89895
361,-1.694989,Juslapeña/Txulapain,42.89875
362,-3.879167,Alfoz de Bricia,42.89667
363,-2.321,Asparrena,42.89567
364,-1.304438,Oroz-Betelu/Orotz-Betelu,42.89537
365,-2.168797,Altsasu/Alsasua,42.89522
366,-4.961933,Prioro,42.89439
367,-7.253127,Baralla,42.89286
368,-2.102132,Bakaiku,42.89249
369,-0.940819,Uztárroz/Uztarroze,42.89209
370,-4.386276,San Cebrián de Mudá,42.89171
371,-2.118865,Iturmendi,42.88948
372,-7.697222,Guntín,42.88778
373,-1.097649,Ezcároz/Ezkaroze,42.88765
374,-1.136416,Jaurrieta,42.88721
375,-2.136436,Urdiain,42.88711
376,-5.534939,Vegacervera,42.88636
377,-1.603,Olaibar,42.886
378,-2.347254,Zalduondo,42.88563
379,-8.546304,Santiago de Compostela,42.88045
380,-4.162222,Valdeolea,42.87778
381,-6.634321,Peranzanes,42.87678
382,-6.433007,Palacios del Sil,42.87659
383,-2.197067,Olazti/Olazagutía,42.87633
384,-4.393997,Mudá,42.87574
385,-2.023889,Ergoiena,42.87528
386,-4.092881,Valdeprado del Río,42.87528
387,-2.376111,San Millán/Donemiliaga,42.87472
388,-7.868907,Palas de Rei,42.87424
389,-2.885556,Kuartango,42.87139
390,-2.228952,Ziordia,42.87082
391,-7.060073,Cervantes,42.86984
392,-5.398154,Valdepiélago,42.86868
393,-1.096854,Oronz/Orontze,42.86818
394,-8.306829,Touro,42.86709
395,-8.678,Brión,42.867
396,-5.322935,Boñar,42.86674
397,-4.499135,Cervera de Pisuerga,42.86576
398,-7.348236,Láncara,42.86206
399,-0.9234196,Isaba/Izaba,42.86159
400,-5.670204,"Pola de Gordón, La",42.85498
401,-1.100172,Esparza de Salazar/Espartza Zaraitzu,42.85387
402,-7.162147,Becerreá,42.85341
403,-3.749722,Valle de Zamanzas,42.85333
404,-1.692535,Berrioplano/Berriobeiti,42.85239
405,-1.903221,Goñi,42.85199
406,-8.926455,Outes,42.85127
407,-1.621,Ezcabarte,42.851
408,-3.1,Valdegovía/Gaubea,42.85
409,-8.05,Santiso,42.85
410,-2.544762,Elburgo/Burgelu,42.84956
411,-5.405795,"Vecilla, La",42.84916
412,-6.191136,Murias de Paredes,42.84893
413,-4.378163,Salinas de Pisuerga,42.84879
414,-2.667893,Vitoria-Gasteiz,42.84641
415,-5.860184,"Barrios de Luna, Los",42.84581
416,-5.498035,Matallana de Torío,42.84385
417,-2.513507,Alegría-Dulantzi,42.84149
418,-3.157743,Jurisdicción de San Zadornil,42.84143
419,-7.535555,"Páramo, O",42.8396
420,0.7382667,Canejan,42.83821
421,-1.729486,Iza/Itza,42.83689
422,-5.150429,Sabero,42.83629
423,-1.67493,Berriozar,42.83624
424,-1.100333,Sarriés/Sartze,42.83516
425,0.7167327,Bausen,42.83448
426,-1.638431,Ansoáin/Antsoain,42.83389
427,-0.9444442,Urzainqui/Urzainki,42.83205
428,-1.590709,Huarte/Uharte,42.83154
429,-1.608811,Villava/Atarrabia,42.83096
430,-4.84626,Velilla del Río Carrión,42.82626
431,-1.615548,Burlada/Burlata,42.826
432,-1.702052,Orkoien,42.8228
433,-2.495043,Iruraiz-Gauna,42.82207
434,-9.0871,Carnota,42.82107
435,-6.488228,Páramo del Sil,42.82024
436,-3.536,Merindad de Valdivielso,42.82
437,-2.807778,Iruña Oka/Iruña de Oca,42.81917
438,-4.509432,Dehesa de Montejo,42.81898
439,-5.332815,Vegaquemada,42.8185
440,-1.646767,Pamplona/Iruña,42.81721
441,-8.417,Boqueixón,42.817
442,-4.948068,Valderrueda,42.81544
443,-5.218091,"Ercina, La",42.81225
444,0.710633,Les,42.81004
445,-7.109268,"Nogais, As",42.80933
446,-3.631667,"Altos, Los",42.80861
447,-4.730435,Santibáñez de la Peña,42.80851
448,-4.599902,Castrejón de la Peña,42.8079
449,-7.615518,Portomarín,42.80775
450,-0.9558963,Roncal/Erronkari,42.80754
451,-3.939167,Valderredible,42.80722
452,-1.095125,Güesa/Gorza,42.80645
453,-1.685519,Barañáin/Barañain,42.80492
454,-2.141833,Améscoa Baja,42.8045
455,-1.694407,Cendea de Olza/Oltza Zendea,42.80423
456,-5.125302,Cistierna,42.80286
457,-2.982607,Añana,42.80235
458,-8.586169,Teo,42.80227
459,-3.391455,Trespaderne,42.8019
460,-8.842805,"Baña, A",42.80187
461,-5.628979,"Robla, La",42.80159
462,-1.014815,Vidángoz/Bidankoze,42.80064
463,-5.743282,Carrocera,42.79588
464,-1.791637,Etxauri,42.7942
465,-8.170012,Vila de Cruces,42.79403
466,-7.836526,Monterroso,42.79319
467,-4.260221,Aguilar de Campoo,42.79245
468,-3.271,Valle de Tobalina,42.792
469,-1.826934,Ciriza/Ziritza,42.79063
470,-1.535561,Aranguren,42.78961
471,-4.846615,Guardo,42.7889
472,-0.924175,Garde,42.78862
473,-1.676974,Cizur,42.78771
474,-1.690832,Zizur Mayor/Zizur Nagusia,42.7868
475,-1.36801,Aoiz/Agoitz,42.78579
476,0.6924253,Bossòst,42.78545
477,-8.888309,Noia,42.78525
478,-1.095836,Gallués/Galoze,42.78402
479,-5.026482,Prado de la Guzpeña,42.78388
480,-3.358483,Cillaperlata,42.78268
481,-8.467377,Vedra,42.78234
482,-7.891078,Antas de Ulla,42.78225
483,-1.826431,Echarri/Etxarri,42.78057
484,-4.038914,Berzosilla,42.78024
