cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,male,female,total_population
24168,toral de los guzmanes,toral de los guzmanes,47,17,39,129,266,275,223,498
24169,toreno,toreno,227,139,249,761,1492,1448,1420,2868
24170,torre del bierzo,torre del bierzo,154,94,177,497,1049,1012,959,1971
24171,trabadelo,trabadelo,8,10,34,89,191,193,139,332
24172,truchas,truchas,14,27,32,77,241,209,182,391
24173,turcia,turcia,95,38,65,242,546,507,479,986
24174,urdiales del paramo,urdiales del paramo,22,24,28,107,271,239,213,452
24175,valdefresno,valdefresno,346,128,160,716,982,1216,1116,2332
24176,valdefuentes del paramo,valdefuentes del paramo,18,13,22,66,187,165,141,306
24177,valdelugueros,valdelugueros,39,32,38,131,246,269,217,486
24178,valdemora,valdemora,2,3,1,15,40,27,34,61
24179,valdepielago,valdepielago,23,14,19,96,155,175,132,307
24180,valdepolo,valdepolo,94,44,90,322,661,652,559,1211
24181,valderas,valderas,154,107,123,367,757,781,727,1508
24182,valderrey,valderrey,26,15,32,99,245,215,202,417
24183,valderrueda,valderrueda,55,27,61,199,478,454,366,820
24184,valdesamario,valdesamario,4,5,10,41,115,100,75,175
24185,val de san lorenzo,val de san lorenzo,49,10,45,111,277,237,255,492
24187,valdevimbre,valdevimbre,59,56,77,251,474,477,440,917
24188,valencia de don juan,valencia de don juan,845,344,526,1558,1886,2502,2657,5159
24189,valverde de la virgen,valverde de la virgen,1372,560,991,2612,2267,4043,3759,7802
24190,valverde-enrique,valverde-enrique,8,5,5,43,91,79,73,152
24191,vallecillo,vallecillo,8,3,7,29,56,59,44,103
24193,"vecilla, la","vecilla, la",17,14,27,110,213,215,166,381
24194,vegacervera,vegacervera,12,9,30,63,145,133,126,259
24196,vega de espinareda,vega de espinareda,162,72,179,459,1133,1019,986,2005
24197,vega de infanzones,vega de infanzones,85,45,58,234,419,429,412,841
24198,vega de valcarce,vega de valcarce,31,19,39,151,313,282,271,553
24199,vegaquemada,vegaquemada,27,12,28,103,265,252,183,435
24201,vegas del condado,vegas del condado,107,30,86,318,617,668,490,1158
24202,villablino,villablino,629,445,555,2091,3999,3750,3969,7719
24203,villabraz,villabraz,6,9,6,23,51,52,43,95
24205,villadangos del paramo,villadangos del paramo,164,68,116,396,491,639,596,1235
24206,toral de los vados,toral de los vados,164,82,130,510,868,879,875,1754
24207,villademor de la vega,villademor de la vega,18,15,26,74,158,160,131,291
24209,villafranca del bierzo,villafranca del bierzo,219,118,192,621,1529,1292,1387,2679
24210,villagaton,villagaton,46,22,66,188,323,355,290,645
24211,villamandos,villamandos,25,9,23,69,150,147,129,276
24212,villamanan,villamanan,88,36,82,259,612,548,529,1077
24213,villamartin de don sancho,villamartin de don sancho,8,3,10,41,86,78,70,148
24214,villamejil,villamejil,48,19,42,154,391,355,299,654
24215,villamol,villamol,6,10,9,41,70,72,64,136
24216,villamontan de la valduerna,villamontan de la valduerna,48,27,41,134,433,347,336,683
24217,villamoratiel de las matas,villamoratiel de las matas,9,1,7,29,75,66,55,121
24218,villanueva de las manzanas,villanueva de las manzanas,39,21,26,139,278,256,247,503
24219,villaobispo de otero,villaobispo de otero,54,21,39,126,277,285,232,517
24221,villaquejida,villaquejida,81,52,59,218,395,405,400,805
24222,villaquilambre,villaquilambre,3422,1347,1595,6758,5588,9246,9464,18710
24223,villarejo de orbigo,villarejo de orbigo,347,150,247,744,1389,1416,1461,2877
24224,villares de orbigo,villares de orbigo,12,18,49,104,378,306,255,561
24225,villasabariego,villasabariego,144,52,101,329,521,582,565,1147
24226,villaselan,villaselan,11,7,13,47,104,102,80,182
24227,villaturiel,villaturiel,235,99,136,554,808,962,870,1832
24228,villazala,villazala,35,22,46,129,366,324,274,598
24229,villazanzo de valderaduey,villazanzo de valderaduey,19,22,12,82,232,216,151,367
24230,zotes del paramo,zotes del paramo,22,9,26,100,244,223,178,401
24901,villamanin,villamanin,60,37,64,258,459,457,421,878
24902,villaornate y castro,villaornate y castro,24,9,28,91,200,178,174,352
25001,abella de la conca,abella de la conca,14,12,17,53,65,82,79,161
25002,ager,ager,67,31,54,173,283,330,278,608
25003,agramunt,agramunt,1044,456,572,1579,1941,2845,2747,5592
25004,"alamus, els","alamus, els",112,57,102,246,282,408,391,799
25005,alas i cerc,alas i cerc,53,19,32,76,145,164,161,325
25006,"albages, l'","albages, l'",28,21,30,91,173,186,157,343
25007,albatarrec,albatarrec,414,172,260,813,588,1144,1103,2247
25008,albesa,albesa,258,109,171,464,569,849,722,1571
25009,"albi, l'","albi, l'",120,55,55,202,332,392,372,764
25010,alcano,alcano,39,12,25,68,96,118,122,240
25011,alcarras,alcarras,2068,757,1174,3632,2586,5305,4912,10217
25012,alcoletge,alcoletge,733,217,436,1253,982,1936,1685,3621
25013,alfarras,alfarras,434,228,250,766,1081,1421,1338,2759
25014,alfes,alfes,41,14,25,75,129,158,126,284
25015,algerri,algerri,52,27,47,98,202,235,191,426
25016,alguaire,alguaire,479,218,274,904,1117,1570,1422,2992
25017,alins,alins,29,19,18,88,121,145,130,275
25019,almacelles,almacelles,1184,647,788,2060,2352,3800,3231,7031
25020,almatret,almatret,20,13,35,66,169,167,136,303
25021,almenar,almenar,494,239,322,990,1276,1758,1563,3321
25022,alos de balaguer,alos de balaguer,7,10,7,38,56,69,49,118
25023,alpicat,alpicat,1323,559,636,1967,1981,3235,3231,6466
25024,alt aneu,alt aneu,54,23,63,122,195,258,199,457
25025,naut aran,naut aran,302,128,222,653,591,986,910,1896
25027,anglesola,anglesola,250,79,105,441,495,691,679,1370
25029,arbeca,arbeca,300,132,221,559,873,1061,1024,2085
25030,"pont de bar, el","pont de bar, el",22,10,13,48,72,94,71,165
25031,arres,arres,5,2,13,20,23,44,19,63
25032,arseguel,arseguel,12,6,3,26,31,41,37,78
25033,artesa de lleida,artesa de lleida,214,134,141,471,576,818,718,1536
25034,artesa de segre,artesa de segre,589,271,390,1032,1237,1814,1705,3519
25035,"sentiu de sio, la","sentiu de sio, la",62,20,46,119,207,237,217,454
25036,aspa,aspa,31,14,22,54,98,114,105,219
25037,"avellanes i santa linya, les","avellanes i santa linya, les",55,18,38,118,201,234,196,430
25038,aitona,aitona,476,185,264,777,873,1369,1206,2575
25039,baix pallars,baix pallars,38,27,34,83,162,192,152,344
25040,balaguer,balaguer,3425,1429,2041,5104,5598,9005,8592,17597
25041,barbens,barbens,119,76,103,294,316,516,392,908
25042,"baronia de rialb, la","baronia de rialb, la",23,14,24,55,114,123,107,230
25043,"vall de boi, la","vall de boi, la",160,64,126,386,383,599,520,1119
25044,bassella,bassella,26,13,22,60,89,115,95,210
25045,bausen,bausen,4,1,5,20,30,31,29,60
25046,belianes,belianes,66,38,66,89,259,249,269,518
25047,bellcaire d'urgell,bellcaire d'urgell,176,88,134,321,507,616,610,1226
25048,bell-lloc d'urgell,bell-lloc d'urgell,400,200,246,665,836,1174,1173,2347
25049,bellmunt d'urgell,bellmunt d'urgell,27,15,17,51,73,97,86,183
25050,bellpuig,bellpuig,883,439,646,1584,1694,2798,2448,5246
25051,bellver de cerdanya,bellver de cerdanya,365,139,235,731,796,1166,1100,2266
25052,bellvis,bellvis,351,156,234,654,856,1165,1086,2251
25053,benavent de segria,benavent de segria,273,154,153,513,478,822,749,1571
25055,biosca,biosca,16,8,20,44,89,97,80,177
25056,bovera,bovera,27,14,16,58,138,136,117,253
25057,"bordes, es","bordes, es",36,13,24,112,96,154,127,281
25058,"borges blanques, les","borges blanques, les",1162,454,653,1837,2234,3237,3103,6340
25059,bossost,bossost,181,91,131,339,402,568,576,1144
25060,cabanabona,cabanabona,4,2,7,16,36,29,36,65
25061,cabo,cabo,11,4,9,25,42,51,40,91
25062,camarasa,camarasa,103,38,72,240,365,418,400,818
25063,canejan,canejan,10,5,12,33,41,48,53,101
25064,castellar de la ribera,castellar de la ribera,34,14,6,43,47,75,69,144
25067,castelldans,castelldans,124,48,93,257,369,460,431,891
25068,castellnou de seana,castellnou de seana,124,47,73,201,283,384,344,728
25069,castello de farfanya,castello de farfanya,90,33,59,131,230,287,256,543
25070,castellsera,castellsera,131,70,81,254,456,511,481,992
25071,cava,cava,3,0,1,12,24,27,13,40
25072,cervera,cervera,1813,871,1073,2749,3047,4885,4668,9553
25073,cervia de les garrigues,cervia de les garrigues,74,42,54,173,297,347,293,640
25074,ciutadilla,ciutadilla,18,15,16,56,89,104,90,194
25075,clariana de cardener,clariana de cardener,30,8,20,44,58,84,76,160
25076,"cogul, el","cogul, el",15,11,19,38,79,89,73,162
25077,coll de nargo,coll de nargo,67,31,72,172,241,315,268,583
25078,corbins,corbins,257,123,137,479,487,803,680,1483
25079,cubells,cubells,36,10,44,83,169,179,163,342
25081,"espluga calba, l'","espluga calba, l'",45,14,24,93,156,170,162,332
25082,espot,espot,40,34,39,106,160,211,168,379
25085,estaras,estaras,24,8,14,47,69,81,81,162
25086,esterri d'aneu,esterri d'aneu,145,88,124,281,282,472,448,920
25087,esterri de cardos,esterri de cardos,13,1,4,21,24,31,32,63
25088,estamariu,estamariu,19,13,4,36,61,77,56,133
25089,farrera,farrera,14,7,16,39,52,73,55,128
25092,"floresta, la","floresta, la",18,14,17,39,76,88,76,164
25093,fondarella,fondarella,146,55,76,249,281,402,405,807
25094,foradada,foradada,36,9,17,60,78,110,90,200
25096,"fuliola, la","fuliola, la",220,106,118,349,456,622,627,1249
25097,fulleda,fulleda,4,5,9,21,53,49,43,92
25098,gavet de la conca,gavet de la conca,23,8,20,66,145,134,128,262
25099,golmes,golmes,358,154,182,599,620,971,942,1913
25100,gosol,gosol,26,10,22,55,101,117,97,214
25101,"granadella, la","granadella, la",92,49,97,208,316,443,319,762
25102,"granja d'escarp, la","granja d'escarp, la",127,46,102,293,373,538,403,941
25103,granyanella,granyanella,14,8,9,40,69,80,60,140
25104,granyena de segarra,granyena de segarra,23,8,7,44,65,79,68,147
25105,granyena de les garrigues,granyena de les garrigues,22,8,8,46,80,96,68,164
25109,guimera,guimera,26,12,22,59,130,134,115,249
25110,guissona,guissona,1671,737,966,2556,1656,4024,3562,7586
25111,guixers,guixers,14,9,7,40,65,78,57,135
25112,ivars de noguera,ivars de noguera,37,23,27,84,148,173,146,319
25113,ivars d'urgell,ivars d'urgell,256,95,160,455,625,865,726,1591
25114,ivorra,ivorra,5,8,9,23,57,60,42,102
25115,isona i conca della,isona i conca della,143,57,101,248,493,573,469,1042
25118,juncosa,juncosa,45,23,48,99,174,205,184,389
25119,juneda,juneda,628,263,360,1068,1204,1878,1645,3523
25120,lleida,lleida,25401,11893,16971,43604,47009,72346,72532,144878
25121,les,les,144,89,138,339,321,535,496,1031
25122,linyola,linyola,502,200,267,800,968,1388,1349,2737
25123,lladorre,lladorre,30,16,33,55,120,138,116,254
25124,lladurs,lladurs,25,9,18,55,78,98,87,185
25125,llardecans,llardecans,51,20,48,96,212,226,201,427
25126,llavorsi,llavorsi,44,16,31,104,141,168,168,336
25127,lles de cerdanya,lles de cerdanya,33,22,25,81,127,166,122,288
25128,llimiana,llimiana,10,3,11,36,72,74,58,132
25129,llobera,llobera,32,13,18,55,90,118,90,208
25130,malda,malda,23,11,22,72,111,120,119,239
25131,massalcoreig,massalcoreig,81,43,65,151,236,324,252,576
25132,massoteres,massoteres,39,24,23,70,56,108,104,212
25133,maials,maials,109,66,110,235,396,502,414,916
25134,menarguens,menarguens,90,55,94,189,365,414,379,793
25135,miralcamp,miralcamp,259,106,126,416,482,719,670,1389
25136,"molsosa, la","molsosa, la",10,4,14,17,60,51,54,105
25137,mollerussa,mollerussa,3213,1323,1785,4944,4415,8102,7578,15680
25138,montgai,montgai,74,39,58,157,312,330,310,640
25139,montella i martinet,montella i martinet,87,26,63,183,260,328,291,619
25140,montferrer i castellbo,montferrer i castellbo,205,62,107,410,379,621,542,1163
25141,montoliu de segarra,montoliu de segarra,23,13,8,61,76,103,78,181
25142,montoliu de lleida,montoliu de lleida,82,41,30,146,178,249,228,477
25143,montornes de segarra,montornes de segarra,7,6,5,25,45,40,48,88
25145,nalec,nalec,10,2,6,28,43,49,40,89
25146,naves,naves,51,22,20,99,110,154,148,302
25148,oden,oden,19,7,22,61,122,130,101,231
25149,oliana,oliana,251,115,205,458,799,909,919,1828
25150,oliola,oliola,17,15,18,42,103,102,93,195
25151,olius,olius,223,77,79,318,306,523,480,1003
25152,"oluges, les","oluges, les",15,8,8,50,84,89,76,165
25153,"omellons, els","omellons, els",20,6,15,42,106,97,92,189
25154,"omells de na gaia, els","omells de na gaia, els",8,8,10,36,59,65,56,121
25155,organya,organya,110,50,89,206,354,414,395,809
25156,os de balaguer,os de balaguer,174,95,110,305,388,546,526,1072
25157,osso de sio,osso de sio,33,10,14,50,88,101,94,195
25158,"palau d'anglesola, el","palau d'anglesola, el",398,144,240,658,760,1098,1102,2200
25161,conca de dalt,conca de dalt,67,20,30,120,198,233,202,435
25163,"coma i la pedra, la","coma i la pedra, la",31,18,30,78,126,160,123,283
25164,penelles,penelles,50,24,38,100,223,252,183,435
25165,peramola,peramola,45,19,43,87,155,176,173,349
25166,pinell de solsones,pinell de solsones,23,9,24,58,89,114,89,203
25167,pinos,pinos,47,18,21,84,107,152,125,277
25168,"poal, el","poal, el",103,49,58,176,266,332,320,652
25169,"pobla de cervoles, la","pobla de cervoles, la",13,17,12,47,120,116,93,209
25170,bellaguarda,bellaguarda,32,15,36,63,149,153,142,295
25171,"pobla de segur, la","pobla de segur, la",453,204,389,779,1218,1560,1483,3043
25172,ponts,ponts,435,193,327,751,964,1378,1292,2670
25173,"pont de suert, el","pont de suert, el",383,190,274,739,829,1228,1187,2415
25174,"portella, la","portella, la",97,55,72,260,239,407,316,723
25175,prats i sansor,prats i sansor,29,14,32,72,107,138,116,254
25176,preixana,preixana,62,22,28,116,176,209,195,404
25177,preixens,preixens,47,25,33,90,195,207,183,390
25179,prullans,prullans,38,20,17,79,98,117,135,252
25180,puiggros,puiggros,34,14,20,70,119,128,129,257
25181,puigverd d'agramunt,puigverd d'agramunt,36,15,29,74,93,137,110,247
25182,puigverd de lleida,puigverd de lleida,244,119,141,461,452,736,681,1417
25183,rialp,rialp,92,38,86,226,221,335,328,663
25185,ribera d'urgellet,ribera d'urgellet,158,69,89,327,317,497,463,960
25186,riner,riner,52,12,21,69,110,127,137,264
25189,rossello,rossello,645,244,383,1127,954,1724,1629,3353
25190,salas de pallars,salas de pallars,49,15,28,121,141,190,164,354
25191,sanauja,sanauja,38,36,33,106,174,201,186,387
25192,sant guim de freixenet,sant guim de freixenet,222,76,126,372,418,631,583,1214
25193,sant llorenc de morunys,sant llorenc de morunys,141,65,90,272,432,483,517,1000
25194,sant ramon,sant ramon,59,26,43,132,235,263,232,495
25196,sant esteve de la sarga,sant esteve de la sarga,6,8,9,31,70,77,47,124
25197,sant guim de la plana,sant guim de la plana,24,21,18,52,80,101,94,195
25200,sarroca de lleida,sarroca de lleida,45,17,35,101,183,210,171,381
25201,sarroca de bellera,sarroca de bellera,7,2,12,28,65,63,51,114
25202,senterada,senterada,21,5,11,62,58,92,65,157
25203,"seu d'urgell, la","seu d'urgell, la",2032,998,1574,3691,4464,6239,6520,12759
25204,seros,seros,336,112,207,585,650,1031,859,1890
25205,sidamon,sidamon,148,52,70,250,249,403,366,769
25206,"soleras, el","soleras, el",37,19,26,80,155,170,147,317
25207,solsona,solsona,1671,813,1031,2727,3151,4663,4730,9393
25208,soriguera,soriguera,77,26,59,159,126,231,216,447
25209,sort,sort,364,174,241,696,783,1122,1136,2258
25210,soses,soses,374,125,181,567,623,994,876,1870
25211,sudanell,sudanell,122,54,80,285,356,505,392,897
25212,sunyer,sunyer,52,19,41,81,113,163,143,306
25215,talarn,talarn,64,48,101,182,146,324,217,541
25216,talavera,talavera,37,22,25,67,134,155,130,285
25217,tarrega,tarrega,3771,1553,2200,5522,5524,9247,9323,18570
25218,tarres,tarres,26,8,9,32,50,62,63,125
25219,tarroja de segarra,tarroja de segarra,25,10,9,55,73,93,79,172
25220,termens,termens,198,97,131,411,507,687,657,1344
25221,tirvia,tirvia,19,4,15,42,64,70,74,144
25222,tiurana,tiurana,7,3,6,20,31,32,35,67
25223,tora,tora,177,83,148,336,509,632,621,1253
25224,"torms, els","torms, els",12,17,6,24,79,70,68,138
25225,tornabous,tornabous,141,51,88,249,313,467,375,842
25226,torrebesses,torrebesses,35,14,26,74,124,142,131,273
25227,"torre de cabdella, la","torre de cabdella, la",89,29,70,215,384,391,396,787
25228,torrefarrera,torrefarrera,1060,411,464,1736,1233,2493,2411,4904
25230,torregrossa,torregrossa,368,155,244,572,888,1184,1043,2227
25231,torrelameu,torrelameu,119,39,101,282,258,485,314,799
25232,torres de segre,torres de segre,365,153,276,703,771,1178,1090,2268
25233,torre-serona,torre-serona,61,37,28,152,162,225,215,440
25234,tremp,tremp,920,483,655,1651,2347,2984,3072,6056
25238,vallbona de les monges,vallbona de les monges,19,14,16,58,114,119,102,221
25239,"valls de valira, les","valls de valira, les",136,37,84,261,292,428,382,810
25240,vallfogona de balaguer,vallfogona de balaguer,395,126,180,636,679,1017,999,2016
25242,verdu,verdu,100,64,108,204,409,425,460,885
25243,vielha e mijaran,vielha e mijaran,882,399,760,2001,1751,2931,2862,5793
25244,vilagrassa,vilagrassa,132,45,71,200,185,333,300,633
25245,vilaller,vilaller,60,29,40,169,208,280,226,506
25247,vilamos,vilamos,14,10,21,60,71,100,76,176
25248,vilanova de bellpuig,vilanova de bellpuig,232,57,86,317,476,592,576,1168
25249,vilanova de l'aguda,vilanova de l'aguda,19,15,12,38,111,101,94,195
25250,vilanova de meia,vilanova de meia,101,32,30,117,182,302,160,462
25251,vilanova de segria,vilanova de segria,179,55,117,361,345,567,490,1057
25252,vila-sana,vila-sana,142,42,78,242,240,378,366,744
25253,"vilosell, el","vilosell, el",19,9,19,50,95,98,94,192
25254,vilanova de la barca,vilanova de la barca,156,56,131,362,395,595,505,1100
25255,vinaixa,vinaixa,54,19,35,114,227,238,211,449
25901,vall de cardos,vall de cardos,41,21,39,108,172,210,171,381
25902,sant marti de riucorb,sant marti de riucorb,100,33,53,182,307,354,321,675
25903,"guingueta d'aneu, la","guingueta d'aneu, la",28,15,31,82,127,157,126,283
25904,castell de mur,castell de mur,15,7,22,42,89,98,77,175
25905,ribera d'ondara,ribera d'ondara,58,20,50,126,200,241,213,454
25906,"valls d'aguilar, les","valls d'aguilar, les",22,14,18,73,142,150,119,269
25907,torrefeta i florejacs,torrefeta i florejacs,80,36,65,179,248,323,285,608
25908,figols i alinya,figols i alinya,19,9,17,80,119,143,101,244
25909,"vansa i fornols, la","vansa i fornols, la",12,9,18,54,96,97,92,189
25910,josa i tuixen,josa i tuixen,14,4,12,36,57,74,49,123
25911,"plans de sio, els","plans de sio, els",65,38,49,132,237,283,238,521
25912,gimenells i el pla de la font,gimenells i el pla de la font,173,80,100,326,416,581,514,1095
25913,riu de cerdanya,riu de cerdanya,6,7,5,30,51,56,43,99
26001,abalos,abalos,35,18,27,57,122,146,113,259
26002,agoncillo,agoncillo,187,91,155,438,441,718,594,1312
26003,aguilar del rio alhama,aguilar del rio alhama,45,26,33,101,228,217,216,433
26004,ajamil de cameros,ajamil de cameros,2,0,11,25,47,53,32,85
26005,albelda de iregua,albelda de iregua,695,279,415,1187,1298,2005,1869,3874
26006,alberite,alberite,458,180,288,849,911,1374,1312,2686
26007,alcanadre,alcanadre,70,51,74,177,275,344,303,647
26008,aldeanueva de ebro,aldeanueva de ebro,466,229,282,758,979,1429,1285,2714
26009,alesanco,alesanco,63,28,39,120,228,244,234,478
26010,aleson,aleson,10,8,4,24,50,60,36,96
26011,alfaro,alfaro,1725,646,982,2833,3678,4948,4916,9864
26012,almarza de cameros,almarza de cameros,6,1,2,17,14,25,15,40
26013,anguciana,anguciana,55,34,43,135,159,233,193,426
26014,anguiano,anguiano,50,20,32,107,281,266,224,490
26015,arenzana de abajo,arenzana de abajo,32,20,21,65,116,133,121,254
26016,arenzana de arriba,arenzana de arriba,0,2,1,9,23,24,11,35
26017,arnedillo,arnedillo,43,24,46,120,198,216,215,431
26018,arnedo,arnedo,2670,1138,1511,4425,5403,7575,7572,15147
26019,arrubal,arrubal,88,33,74,189,193,311,266,577
26020,ausejo,ausejo,148,49,99,234,277,426,381,807
26021,autol,autol,1017,339,561,1515,1423,2437,2418,4855
26022,azofra,azofra,14,6,16,40,125,111,90,201
26023,badaran,badaran,42,27,45,112,267,250,243,493
26024,banares,banares,16,9,15,43,116,105,94,199
26025,banos de rioja,banos de rioja,5,2,11,16,51,51,34,85
26026,banos de rio tobia,banos de rio tobia,245,108,164,437,654,822,786,1608
26027,berceo,berceo,7,5,16,27,83,86,52,138
26028,bergasa,bergasa,16,6,11,57,80,91,79,170
26029,bergasillas bajera,bergasillas bajera,0,0,2,10,26,19,19,38
26030,bezares,bezares,1,1,4,4,11,9,12,21
26031,bobadilla,bobadilla,8,4,8,19,62,53,48,101
26032,brieva de cameros,brieva de cameros,0,0,4,8,26,22,16,38
26033,brinas,brinas,20,19,24,40,85,94,94,188
26034,briones,briones,95,46,45,218,347,397,354,751
26035,cabezon de cameros,cabezon de cameros,0,6,0,10,6,14,8,22
26036,calahorra,calahorra,4468,1948,2931,7416,8313,12303,12773,25076
26037,camprovin,camprovin,9,14,15,37,84,85,74,159
26038,canales de la sierra,canales de la sierra,2,2,4,22,52,55,27,82
26039,canillas de rio tuerto,canillas de rio tuerto,5,1,1,13,23,24,19,43
26040,canas,canas,10,12,13,20,42,53,44,97
26041,cardenas,cardenas,7,7,13,26,75,68,60,128
26042,casalarreina,casalarreina,156,72,120,276,436,528,532,1060
26043,castanares de rioja,castanares de rioja,30,25,30,101,218,193,211,404
26044,castroviejo,castroviejo,2,3,9,16,30,34,26,60
26045,cellorigo,cellorigo,0,0,0,1,9,4,6,10
26046,cenicero,cenicero,334,125,203,616,820,1082,1016,2098
26047,cervera del rio alhama,cervera del rio alhama,255,157,211,578,1075,1174,1102,2276
26048,cidamon,cidamon,2,0,0,7,8,8,9,17
26049,cihuri,cihuri,22,12,18,56,92,106,94,200
26050,ciruena,ciruena,26,10,18,58,80,119,73,192
26051,clavijo,clavijo,52,16,16,92,121,171,126,297
26052,cordovin,cordovin,7,5,10,32,105,80,79,159
26053,corera,corera,34,15,33,62,131,144,131,275
26054,cornago,cornago,17,10,23,52,188,163,127,290
26055,corporales,corporales,0,4,0,12,26,26,16,42
26056,cuzcurrita de rio tiron,cuzcurrita de rio tiron,72,32,64,163,230,291,270,561
26057,daroca de rioja,daroca de rioja,5,7,4,20,30,41,25,66
26058,enciso,enciso,7,8,11,40,105,111,60,171
26059,entrena,entrena,287,112,172,533,529,855,778,1633
26060,estollo,estollo,2,4,5,18,57,51,35,86
26061,ezcaray,ezcaray,262,162,213,560,893,1084,1006,2090
26062,foncea,foncea,11,4,6,28,44,53,40,93
26063,fonzaleche,fonzaleche,10,6,17,32,63,82,46,128
26064,fuenmayor,fuenmayor,588,258,295,1038,1094,1644,1629,3273
26065,galbarruli,galbarruli,6,4,10,18,37,49,26,75
26066,galilea,galilea,60,36,31,122,157,202,204,406
26067,gallinero de cameros,gallinero de cameros,0,2,2,4,8,10,6,16
26068,gimileo,gimileo,26,7,11,38,42,65,59,124
26069,granon,granon,14,7,12,54,135,123,99,222
26070,gravalos,gravalos,23,8,27,39,89,103,83,186
26071,haro,haro,2013,915,1177,3553,4310,5940,6028,11968
26072,herce,herce,29,29,31,81,163,175,158,333
26073,herramelluri,herramelluri,6,11,8,18,66,62,47,109
26074,hervias,hervias,12,8,5,47,68,73,67,140
26075,hormilla,hormilla,74,34,38,105,184,227,208,435
26076,hormilleja,hormilleja,16,2,11,28,80,71,66,137
26077,hornillos de cameros,hornillos de cameros,0,0,0,4,8,6,6,12
26078,hornos de moncalvillo,hornos de moncalvillo,8,5,6,27,53,58,41,99
26079,huercanos,huercanos,134,66,63,215,368,466,380,846
26080,igea,igea,92,68,65,158,273,371,285,656
26081,jalon de cameros,jalon de cameros,2,1,3,5,12,11,12,23
26082,laguna de cameros,laguna de cameros,0,13,5,16,81,61,54,115
26083,lagunilla del jubera,lagunilla del jubera,27,23,41,86,215,217,175,392
26084,lardero,lardero,2403,878,1252,4184,2999,5875,5841,11716
26086,ledesma de la cogolla,ledesma de la cogolla,0,0,3,3,10,11,5,16
26087,leiva,leiva,13,25,20,65,122,118,127,245
26088,leza de rio leza,leza de rio leza,0,2,6,12,23,25,18,43
26089,logrono,logrono,24935,10975,14794,44397,55744,71265,79580,150845
26091,lumbreras de cameros,lumbreras de cameros,3,3,6,41,95,99,49,148
26092,manjarres,manjarres,5,3,11,27,62,67,41,108
26093,mansilla de la sierra,mansilla de la sierra,2,7,8,14,32,46,17,63
26094,manzanares de rioja,manzanares de rioja,0,0,3,9,49,38,23,61
26095,matute,matute,3,3,7,15,62,52,38,90
26096,medrano,medrano,63,17,29,116,131,194,162,356
26098,munilla,munilla,5,6,9,28,50,57,41,98
26099,murillo de rio leza,murillo de rio leza,278,125,145,494,635,859,818,1677
26100,muro de aguas,muro de aguas,0,1,7,15,31,35,19,54
26101,muro en cameros,muro en cameros,0,0,3,8,26,21,16,37
26102,najera,najera,1372,620,825,2359,2979,4061,4094,8155
26103,nalda,nalda,184,86,124,411,508,722,591,1313
26104,navajun,navajun,0,0,1,2,5,7,1,8
26105,navarrete,navarrete,557,230,269,997,980,1533,1500,3033
26106,nestares,nestares,2,4,9,21,49,53,32,85
26107,nieva de cameros,nieva de cameros,4,2,5,22,54,52,35,87
26108,ocon,ocon,18,9,28,77,205,205,132,337
26109,ochanduri,ochanduri,5,5,7,13,52,48,34,82
26110,ojacastro,ojacastro,12,6,21,32,108,104,75,179
26111,ollauri,ollauri,48,15,18,96,137,170,144,314
26112,ortigosa de cameros,ortigosa de cameros,7,7,23,44,135,135,81,216
26113,pazuengos,pazuengos,0,2,0,6,17,20,5,25
26114,pedroso,pedroso,3,3,6,22,55,55,34,89
26115,pinillos,pinillos,0,0,0,7,12,10,9,19
26117,pradejon,pradejon,677,300,460,1182,1116,1947,1788,3735
26118,pradillo,pradillo,0,4,7,13,40,36,28,64
26119,prejano,prejano,16,25,24,50,105,121,99,220
26120,quel,quel,306,151,224,610,833,1137,987,2124
26121,rabanera,rabanera,0,3,0,8,20,23,8,31
26122,"rasillo de cameros, el","rasillo de cameros, el",4,15,17,41,82,90,69,159
26123,"redal, el","redal, el",18,3,13,40,74,85,63,148
26124,ribafrecha,ribafrecha,182,71,77,330,403,555,508,1063
26125,rincon de soto,rincon de soto,735,323,467,1193,1317,2132,1903,4035
26126,robres del castillo,robres del castillo,1,0,1,2,20,15,9,24
26127,rodezno,rodezno,22,4,11,72,119,128,100,228
26128,sajazarra,sajazarra,15,8,8,42,52,70,55,125
26129,san asensio,san asensio,143,62,86,268,548,586,521,1107
26130,san millan de la cogolla,san millan de la cogolla,12,11,16,44,131,142,72,214
26131,san millan de yecora,san millan de yecora,0,0,2,6,24,23,9,32
26132,san roman de cameros,san roman de cameros,3,3,12,33,79,80,50,130
26134,santa coloma,santa coloma,0,9,9,27,59,59,45,104
26135,santa engracia del jubera,santa engracia del jubera,15,5,21,42,109,116,76,192
26136,santa eulalia bajera,santa eulalia bajera,16,6,11,37,43,65,48,113
26138,santo domingo de la calzada,santo domingo de la calzada,1100,471,612,1759,2403,3178,3167,6345
26139,san torcuato,san torcuato,7,1,3,18,36,35,30,65
26140,santurde de rioja,santurde de rioja,21,18,20,59,143,141,120,261
26141,santurdejo,santurdejo,5,4,8,25,59,57,44,101
26142,san vicente de la sonsierra,san vicente de la sonsierra,117,70,106,269,454,537,479,1016
26143,sojuela,sojuela,79,46,98,243,195,369,292,661
26144,sorzano,sorzano,15,10,13,73,108,123,96,219
