cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,male,female,total_population
4035,cuevas del almanzora,cuevas del almanzora,3245,1143,1827,4573,4328,7850,7266,15116
4036,chercos,chercos,28,27,30,94,131,161,149,310
4037,chirivel,chirivel,218,90,156,392,723,824,755,1579
4038,dalias,dalias,777,319,502,1210,1350,2073,2085,4158
4041,enix,enix,72,35,55,198,243,328,275,603
4043,felix,felix,86,53,76,243,312,450,320,770
4044,fines,fines,387,166,299,733,690,1210,1065,2275
4045,finana,finana,274,151,233,492,868,1029,989,2018
4046,fondon,fondon,121,75,101,311,525,587,546,1133
4047,gador,gador,601,236,402,901,934,1617,1457,3074
4048,"gallardos, los","gallardos, los",447,196,275,741,1419,1542,1536,3078
4049,garrucha,garrucha,2074,869,1347,3457,2778,5474,5051,10525
4050,gergal,gergal,186,80,158,362,410,662,534,1196
4051,huecija,huecija,81,31,68,132,224,260,276,536
4052,huercal de almeria,huercal de almeria,4429,1680,1993,6870,3726,9441,9257,18698
4053,huercal-overa,huercal-overa,3970,1610,2305,6272,6418,10251,10324,20575
4054,illar,illar,49,29,54,120,215,242,225,467
4055,instincion,instincion,81,45,35,129,212,258,244,502
4056,laroya,laroya,26,13,26,64,82,117,94,211
4057,laujar de andarax,laujar de andarax,278,116,158,441,662,840,815,1655
4058,lijar,lijar,39,16,38,97,205,210,185,395
4059,lubrin,lubrin,161,82,103,359,748,737,716,1453
4060,lucainena de las torres,lucainena de las torres,119,37,81,234,257,374,354,728
4061,lucar,lucar,115,47,82,237,347,414,414,828
4062,macael,macael,894,415,588,1633,1948,2791,2687,5478
4063,maria,maria,124,82,120,297,575,616,582,1198
4064,mojacar,mojacar,929,405,624,1891,3606,3657,3798,7455
4065,nacimiento,nacimiento,60,39,61,134,210,266,238,504
4066,nijar,nijar,7666,2726,5374,10848,6734,19091,14257,33348
4067,ohanes,ohanes,36,32,50,134,297,284,265,549
4068,olula de castro,olula de castro,6,12,19,44,101,102,80,182
4069,olula del rio,olula del rio,1106,564,758,1945,2056,3300,3129,6429
4070,oria,oria,203,119,177,542,1192,1168,1065,2233
4071,padules,padules,40,30,26,106,237,238,201,439
4072,partaloa,partaloa,45,31,47,144,622,438,451,889
4073,paterna del rio,paterna del rio,34,20,38,109,195,219,177,396
4074,pechina,pechina,997,356,523,1456,1178,2336,2174,4510
4075,pulpi,pulpi,2313,1121,1820,3900,2969,6290,5833,12123
4076,purchena,purchena,264,126,154,413,578,779,756,1535
4077,ragol,ragol,23,19,17,86,154,155,144,299
4078,rioja,rioja,321,117,191,522,461,830,782,1612
4079,roquetas de mar,roquetas de mar,22403,8741,15160,37390,24654,56249,52099,108348
4080,santa cruz de marchena,santa cruz de marchena,13,14,19,62,136,131,113,244
4081,santa fe de mondujar,santa fe de mondujar,71,36,70,135,193,259,246,505
4082,senes,senes,6,15,31,72,157,160,121,281
4083,seron,seron,280,135,219,577,939,1116,1034,2150
4084,sierro,sierro,31,16,38,116,177,208,170,378
4085,somontin,somontin,49,36,57,144,240,276,250,526
4086,sorbas,sorbas,376,144,261,651,1072,1290,1214,2504
4087,sufli,sufli,14,17,28,67,103,119,110,229
4088,tabernas,tabernas,682,287,545,1213,1350,2114,1963,4077
4089,taberno,taberno,145,58,89,245,425,478,484,962
4090,tahal,tahal,31,28,27,112,176,193,181,374
4091,terque,terque,47,23,38,95,187,210,180,390
4092,tijola,tijola,543,336,421,1012,1231,1779,1764,3543
4093,turre,turre,670,276,432,1171,1792,2248,2093,4341
4094,turrillas,turrillas,20,15,27,70,131,149,114,263
4095,uleila del campo,uleila del campo,89,64,74,214,380,413,408,821
4096,urracal,urracal,26,20,52,78,181,186,171,357
4097,velefique,velefique,4,7,28,51,156,139,107,246
4098,velez-blanco,velez-blanco,210,117,211,532,882,1003,949,1952
4099,velez-rubio,velez-rubio,1021,479,744,1761,2572,3203,3374,6577
4100,vera,vera,3994,1596,2255,6303,5268,9890,9526,19416
4101,viator,viator,1377,502,873,2162,1420,3228,3106,6334
4102,vicar,vicar,6327,2441,4427,9413,5897,15361,13144,28505
4103,zurgena,zurgena,333,153,200,733,1534,1518,1435,2953
4901,"tres villas, las","tres villas, las",47,30,53,145,300,317,258,575
4902,"ejido, el","ejido, el",20131,7519,11993,29661,20158,46800,42662,89462
4903,"mojonera, la","mojonera, la",1988,783,1289,2601,1885,4661,3885,8546
4904,balanegra,balanegra,558,253,433,978,805,1584,1443,3027
5001,adanero,adanero,17,19,19,69,91,122,93,215
5002,"adrada, la","adrada, la",473,188,249,874,1051,1451,1384,2835
5005,albornos,albornos,11,14,15,45,90,92,83,175
5007,aldeanueva de santa cruz,aldeanueva de santa cruz,5,5,4,27,60,54,47,101
