cmun,municipality,count_of_stations,suburban_train
5178,Palacios De Goda,1,no
5220,San Pedro Del Arroyo,1,no
6011,Almendralejo,1,no
6015,Badajoz,3,no
6020,Bienvenida,1,no
6021,Bodonal De La Sierra,1,no
6023,Cabeza Del Buey,2,no
6025,Calamonte,1,no
6028,Campanario,1,no
6031,Carmonita,1,no
6036,Castuera,1,no
6043,Don Álvaro,1,no
6044,Don Benito,1,no
6050,Fregenal De La Sierra,1,no
6053,Fuente Del Arco,1,no
6058,Garrovilla (La),3,no
6060,Guareña,1,no
6074,Llerena,1,no
6075,Magacela,1,no
6080,Medellín,1,no
6081,Medina De Las Torres,1,no
6083,Mérida,4,no
6088,Montijo,3,no
6108,Puebla De Sancho Pérez,2,no
6109,Quintana De La Serena,1,no
6110,Reina,1,no
6122,Santos De Maimona (Los),1,no
6123,San Vicente De Alcántara,1,no
6133,Torremejía,1,no
6138,Valdetorres,1,no
6141,Valencia Del Ventoso,1,no
6149,Villafranca De Los Barros,1,no
6150,Villagarcía De La Torre,1,no
6151,Villagonzalo,1,no
6153,Villanueva De La Serena,1,no
6158,Zafra,2,no
6162,Zarza (La),1,no
8002,Aguilar De Segarra,1,no
8006,Arenys De Mar,1,yes
8015,Badalona,1,yes
8017,Balenyà,2,yes
8019,Barcelona,28,yes
8029,Cabrera De Mar,1,yes
8031,Calaf,1,no
8032,Caldes D'Estrac,1,yes
8035,Calella,1,yes
8040,Canet De Mar,1,yes
8046,Cardedeu,1,yes
8053,Castellbell I El Vilar,1,yes
8054,Castellbisbal,1,yes
8056,Castelldefels,2,yes
8067,Centelles,1,yes
8073,Cornellà De Llobregat,2,yes
8074,Cubelles,1,yes
8086,Franqueses Del Vallès (Les),3,yes
8088,Garriga (La),1,yes
8089,Gavà,1,yes
8091,Gelida,1,yes
8094,Granada (La),1,yes
8096,Granollers,3,yes
8097,Gualba,1,yes
8101,Hospitalet De Llobregat (L'),2,yes
8105,Llagosta (La),1,yes
8106,Llinars Del Vallès,1,yes
8110,Malgrat De Mar,1,yes
8112,Manlleu,1,yes
8113,Manresa,2,yes
8114,Martorell,1,yes
8118,Masnou (El),2,yes
8121,Mataró,1,yes
8123,Molins De Rei,1,yes
8124,Mollet Del Vallès,2,yes
8125,Montcada I Reixac,6,yes
8126,Montgat,2,yes
8131,Montesquiu,1,yes
8135,Montmeló,1,yes
8147,Olesa De Montserrat,1,yes
8158,Papiol (El),1,yes
8159,Parets Del Vallès,1,yes
8163,Pineda De Mar,1,yes
8169,Prat De Llobregat (El),2,yes
8172,Premià De Mar,1,yes
8178,Rajadell,1,no
8184,Rubí,1,yes
8187,Sabadell,4,yes
8189,Sant Pere Sallavinera,1,no
8194,Sant Adrià De Besòs,1,yes
8197,Sant Andreu De Llavaneres,1,yes
8201,Sant Boi De Lluçanès,1,yes
8202,Sant Celoni,1,yes
8205,Sant Cugat Del Vallès,1,yes
8211,Sant Feliu De Llobregat,1,yes
8217,Sant Joan Despí,1,yes
8219,Vilassar De Mar,1,yes
8224,Sant Martí De Centelles,1,yes
8228,Sant Martí Sesgueioles,1,no
8235,Sant Pol De Mar,1,yes
8237,Sant Quirze De Besora,1,yes
8240,Sant Sadurní D'Anoia,2,yes
8251,Santa Margarida I Els Monjos,1,yes
8252,Barberà Del Vallès,1,yes
8259,Santa Maria De Palautordera,1,yes
8260,Santa Perpètua De Mogoda,2,yes
8261,Santa Susanna,1,yes
8262,Sant Vicenç De Castellet,2,yes
8265,Sant Vicenç De Torelló,1,yes
8266,Cerdanyola Del Vallès,2,yes
8270,Sitges,3,yes
8273,Subirats,1,yes
8278,Taradell,1,yes
8279,Terrassa,3,yes
8284,Tordera,1,yes
8285,Torelló,1,yes
8291,Vacarisses,2,yes
8298,Vic,1,yes
8300,Viladecavalls,2,yes
8305,Vilafranca Del Penedès,2,yes
8307,Vilanova I La Geltrú,2,yes
9018,Aranda De Duero,1,no
9025,Arija,1,no
9030,Ausines (Los),1,no
9033,Bahabón De Esgueva,1,no
9034,Balbases (Los),1,no
9038,Barbadillo Del Mercado,1,no
9044,Barrios De Colina,1,no
9051,Berlangas De Roa,1,no
9056,Briviesca,1,no
9057,Bugedo,1,no
9059,Burgos,2,no
9062,Cabezón De La Sierra,1,no
9066,Campolara,1,no
9071,Carcedo De Bureba,1,no
9073,Cardeñadijo,1,no
9078,Cascajares De La Sierra,1,no
9083,Castil De Peones,1,no
9084,Castrillo De La Reina,1,no
9098,Cerezo De Río Tirón,1,no
9108,Cogollos,1,no
9124,Espinosa De Los Monteros,2,no
9127,Fontioso,1,no
9135,Fuentebureba,1,no
9137,Fuentelcésped,1,no
9151,Gumiel De Izán,1,no
9163,Hontoria Del Pinar,1,no
9194,Lerma,1,no
9197,Madrigalejo Del Monte,1,no
9209,Medina De Pomar,1,no
9215,Merindad De Sotoscueva,3,no
9216,Merindad De Valdeporres,3,no
9219,Miranda De Ebro,1,no
9221,Modúbar De La Emparedada,2,no
9238,Oña,2,no
9239,Oquillas,1,no
9251,Pancorbo,1,no
9272,Poza De La Sal,2,no
9276,Puebla De Arganzón (La),1,no
9288,Quintanapalla,1,no
9302,Rabanera Del Pinar,1,no
9312,Revilla Y Ahedo (La),1,no
9314,Revilla Del Campo,1,no
9321,Roa,1,no
9330,Salas De Los Infantes,1,no
9338,San Mamés De Burgos,2,no
9339,San Martín De Rubiales,1,no
9345,Santa Cruz De La Salceda,2,no
9354,Santa Olalla De Bureba,1,no
9362,Sarracín,1,no
9394,Trespaderne,1,no
9400,Vadocondes,1,no
9410,Valle De Mena,3,no
9413,Valle De Valdebezana,2,no
9434,Villagonzalo Pedernales,1,no
9439,Villalbilla De Burgos,2,no
9456,Villaquirán De Los Infantes,1,no
9903,Villarcayo De Merindad De Castilla La Vieja,1,no
9906,Merindad De Río Ubierna,4,no
9907,Alfoz De Quintanadueñas,1,no
10012,Aldea Del Cano,1,no
10015,Aldeanueva Del Camino,1,no
10018,Aliseda,2,no
10024,Baños De Montemayor,1,no
10037,Cáceres,4,no
10045,Cañaveral,1,no
10049,Casar De Cáceres,2,no
10055,Casas Del Monte,1,no
10056,Casas De Millán,1,no
10058,Casatejada,1,no
10082,Garrovillas De Alconétar,1,no
10096,Hervás,1,no
10116,Malpartida De Plasencia,2,no
10123,Mirabel,1,no
10131,Navalmoral De La Mata,1,no
10136,Oliva De Plasencia,1,no
10148,Plasencia,2,no
10182,Toril,1,no
10203,Valencia De Alcántara,2,no
10214,Villar De Plasencia,1,no
11004,Algeciras,1,no
11008,Barrios (Los),1,no
11012,Cádiz,5,yes
11013,Castellar De La Frontera,2,no
11016,Chipiona,1,no
11020,Jerez De La Frontera,3,yes
11021,Jimena De La Frontera,2,no
11027,Puerto De Santa María (El),6,yes
11028,Puerto Real,3,yes
11030,Rota,3,no
11031,San Fernando,2,yes
11032,Sanlúcar De Barrameda,2,no
11033,San Roque,1,no
11034,Setenil De Las Bodegas,1,no
12004,Alcalà De Xivert,2,yes
12009,Almazora/Almassora,1,yes
12011,Almenara,1,yes
12020,Barracas,1,no
12027,Benicarló,1,yes
12028,Benicasim/Benicàssim,4,yes
12032,Borriana/Burriana,1,yes
12033,Cabanes,1,no
12040,Castellón De La Plana/Castelló De La Plana,2,yes
12043,Caudiel,2,yes
12053,Chilches/Xilxes,1,yes
12071,Jérica,1,yes
12074,Llosa (La),1,yes
12081,Navajas,1,yes
12082,Nules,2,yes
12085,Oropesa Del Mar/Orpesa,1,yes
12089,Peníscola/Peñíscola,2,no
