cmun,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other
03088,56,83,8,13,26,65,38,63
03089,124,79,10,11,39,77,41,72
03090,70,234,53,42,107,347,200,170
03091,0,0,0,0,0,0,0,0
03092,118,120,7,12,45,102,41,66
03093,147,202,19,29,84,214,103,179
03094,44,239,34,21,111,302,121,184
03095,50,134,5,13,24,126,47,80
03096,126,57,9,6,22,66,33,70
03097,7,28,0,0,0,0,0,0
03098,0,0,0,0,0,0,0,0
03099,243,945,114,126,601,1.039,319,556
03100,11,21,0,0,0,0,0,0
03101,49,150,18,16,45,128,56,66
03102,40,198,12,11,53,145,62,76
03103,0,0,0,0,0,0,0,0
03104,299,238,29,39,126,282,176,214
03105,86,71,4,18,28,64,25,49
03106,0,0,0,0,0,0,0,0
03107,16,56,7,5,22,89,35,44
03109,8,78,0,0,0,0,0,0
03110,0,0,0,0,0,0,0,0
03111,48,75,5,11,17,45,28,39
03112,4,18,0,0,0,0,0,0
03113,42,158,16,20,141,169,46,94
03114,27,29,0,0,0,0,0,0
03115,0,0,0,0,0,0,0,0
03116,17,14,0,0,0,0,0,0
03117,0,0,0,0,0,0,0,0
03118,15,67,7,5,32,99,31,61
03119,37,191,50,63,153,409,224,189
03120,20,77,7,8,62,123,18,51
03121,102,258,54,54,180,383,191,274
03122,201,452,71,68,184,498,292,426
03123,107,46,7,7,32,65,33,59
03124,0,0,0,0,0,0,0,0
03125,0,0,0,0,0,0,0,0
03127,0,0,0,0,0,0,0,0
03128,39,329,19,27,170,289,68,100
03129,12,19,0,0,0,0,0,0
03130,0,0,0,0,0,0,0,0
03131,0,0,0,0,0,0,0,0
03132,0,0,0,0,0,0,0,0
03133,138,1.029,134,90,719,1.095,371,733
03134,0,0,0,0,0,0,0,0
03135,0,0,0,0,0,0,0,0
03136,0,0,0,0,0,0,0,0
03137,0,0,0,0,0,0,0,0
03138,17,70,0,0,18,56,20,44
03139,73,315,24,57,182,327,167,220
03140,238,269,32,47,143,353,166,239
03901,0,0,0,0,0,0,0,0
03902,75,283,18,21,141,240,76,147
03903,19,98,0,0,33,90,26,44
03904,22,19,0,0,0,0,0,0
04001,0,0,0,0,0,0,0,0
04002,4,8,0,0,0,0,0,0
04003,48,203,0,0,50,139,74,120
04004,0,0,0,0,0,0,0,0
04005,0,0,0,0,0,0,0,0
04006,51,126,6,12,45,128,48,64
04007,0,0,0,0,0,0,0,0
04008,0,0,0,0,0,0,0,0
04009,0,0,0,0,0,0,0,0
04010,0,0,0,0,0,0,0,0
04011,24,46,0,0,0,0,0,0
04012,0,0,0,0,0,0,0,0
04013,330,1.166,223,341,721,2.454,1.375,1.369
04014,0,0,0,0,0,0,0,0
04015,0,0,0,0,0,0,0,0
04016,26,64,0,0,0,0,0,0
04017,12,46,0,0,0,0,0,0
04018,0,0,0,0,0,0,0,0
04019,0,0,0,0,0,0,0,0
04020,0,0,0,0,0,0,0,0
04021,0,0,0,0,0,0,0,0
04022,0,0,0,0,0,0,0,0
04023,0,0,0,0,0,0,0,0
04024,31,57,0,0,0,0,0,0
04026,0,0,0,0,0,0,0,0
04027,0,0,0,0,0,0,0,0
04028,0,0,0,0,0,0,0,0
04029,36,102,4,10,22,72,40,56
04030,5,11,0,0,0,0,0,0
04031,30,48,0,0,0,0,0,0
04032,19,81,0,0,28,52,22,59
04033,0,0,0,0,0,0,0,0
04034,0,0,0,0,0,0,0,0
04035,36,123,8,20,53,126,42,75
04036,0,0,0,0,0,0,0,0
04037,7,13,0,0,0,0,0,0
04038,7,24,0,0,0,0,0,0
04041,0,0,0,0,0,0,0,0
04043,0,0,0,0,0,0,0,0
04044,35,29,0,0,0,0,0,0
04045,9,7,0,0,0,0,0,0
04046,10,9,0,0,0,0,0,0
04047,8,14,0,0,0,0,0,0
04048,8,33,0,0,0,0,0,0
04049,13,76,6,6,30,75,30,64
04050,4,5,0,0,0,0,0,0
04051,0,0,0,0,0,0,0,0
04052,87,141,16,25,46,137,85,144
04053,40,158,10,26,42,159,102,94
04054,0,0,0,0,0,0,0,0
04055,0,0,0,0,0,0,0,0
04056,0,0,0,0,0,0,0,0
04057,10,19,0,0,0,0,0,0
04058,0,0,0,0,0,0,0,0
04059,4,15,0,0,0,0,0,0
04060,0,0,0,0,0,0,0,0
04061,0,0,0,0,0,0,0,0
04062,106,25,0,0,15,40,21,26
04063,6,11,0,0,0,0,0,0
04064,12,102,12,14,74,135,56,72
04065,0,0,0,0,0,0,0,0
04066,72,143,10,21,79,153,37,139
04067,0,0,0,0,0,0,0,0
04068,0,0,0,0,0,0,0,0
04069,69,40,5,6,16,72,32,52
04070,5,25,0,0,0,0,0,0
04071,0,0,0,0,0,0,0,0
04072,0,0,0,0,0,0,0,0
04073,0,0,0,0,0,0,0,0
04074,13,32,0,0,0,0,0,0
04075,31,109,0,0,41,84,20,48
04076,11,13,0,0,0,0,0,0
04077,0,0,0,0,0,0,0,0
04078,8,15,0,0,0,0,0,0
04079,159,738,99,157,362,1.014,515,625
04080,0,0,0,0,0,0,0,0
04081,0,0,0,0,0,0,0,0
04082,0,0,0,0,0,0,0,0
04083,18,16,0,0,0,0,0,0
04084,0,0,0,0,0,0,0,0
04085,0,0,0,0,0,0,0,0
04086,11,26,0,0,0,0,0,0
04087,0,0,0,0,0,0,0,0
04088,13,18,0,0,0,0,0,0
04089,0,0,0,0,0,0,0,0
04090,0,0,0,0,0,0,0,0
04091,0,0,0,0,0,0,0,0
04092,18,48,0,0,0,0,0,0
04093,8,50,0,0,0,0,0,0
04094,0,0,0,0,0,0,0,0
04095,0,0,0,0,0,0,0,0
04096,0,0,0,0,0,0,0,0
04097,0,0,0,0,0,0,0,0
04098,4,20,0,0,0,0,0,0
04099,32,77,5,12,11,50,34,53
04100,38,169,16,25,120,248,89,154
04101,50,88,0,0,17,51,14,48
04102,63,162,16,19,54,136,65,120
04103,8,19,0,0,0,0,0,0
04901,0,0,0,0,0,0,0,0
04902,239,533,60,112,299,694,309,523
04903,36,41,0,0,18,37,14,34
04904,6,14,0,0,0,0,0,0
05001,0,0,0,0,0,0,0,0
05002,10,49,0,0,0,0,0,0
05005,0,0,0,0,0,0,0,0
05007,0,0,0,0,0,0,0,0
05008,0,0,0,0,0,0,0,0
05010,0,0,0,0,0,0,0,0
05012,0,0,0,0,0,0,0,0
05013,0,0,0,0,0,0,0,0
05014,39,71,5,8,12,75,44,60
05015,0,0,0,0,0,0,0,0
05016,32,64,0,0,20,51,33,52
05017,0,0,0,0,0,0,0,0
05018,0,0,0,0,0,0,0,0
05019,145,429,31,105,148,586,332,397
05021,20,43,0,0,0,0,0,0
05022,13,23,0,0,0,0,0,0
05023,0,0,0,0,0,0,0,0
05024,0,0,0,0,0,0,0,0
05025,0,0,0,0,0,0,0,0
05026,0,0,0,0,0,0,0,0
05027,0,0,0,0,0,0,0,0
05029,0,0,0,0,0,0,0,0
05030,0,0,0,0,0,0,0,0
